,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
土地建物,87,40,12,17,5
相続,0,0,0,0,2
金銭,38,32,8,5,3
戸籍,10,7,4,4,0
身の上,26,43,13,10,2
労働,10,14,0,2,0
その他,3385,3633,3371,3232,3184
計,3556,3769,3408,3270,3196
