"年度","一般相談 金融[件]","一般相談 経営[件]","一般相談 その他[件]","受発注相談 金融[件]","受発注相談 その他[件]"
"2013","3521","9","0","347","2510"
"2014","2960","3","2","393","2504"
"2015","2927","4","6","421","2623"
"2016","2799","12","20","431","2572"
"2017","2529","14","83","339","2712"

"平成30年度港区行政資料集　商工相談件数","Ver201803",,,,
