"年度","ショートステイ利用者数[人]","トワイライトステイ利用者数[人]","子育てひろば利用者数[人]","乳幼児一時預かり利用者数[人]"
"2013","1091","673","25821","5163"
"2014","1167","755","25476","5383"
"2015","907","882","27182","6008"
"2016","930","1039","22929","6112"
"2017","1108","1295","24707","5937"

"平成30年度港区行政資料集　みなと子育て応援プラザPokke事業実施状況","Ver201803",,,
