"年度[西暦]","アメリカ[人]","韓国及び朝鮮[人]","中国[人]","イギリス[人]","フィリピン[人]","フランス[人]","ドイツ[人]","その他[人]","合計[人]"
"2018","3349","3504","3958","892","1038","755","374","6407","20277"
"2019","3120","3515","4325","878","1054","748","391","6556","20587"
"2020","2708","3196","3967","773","982","641","320","5704","18291"
"2021","2409","3141","3990","698","939","533","261","5253","17224"
"2022","2777","3450","5190","804","971","589","307","6127","20215"

"令和5年度港区行政資料集　外国人住民数","Ver202303",,,,,,,,
