款,項,目,細目,財源内訳,決算額
1,1,1,34,1,0
1,1,1,34,2,0
1,1,1,34,3,0
1,1,1,34,4,42975
1,1,1,34,5,0
1,1,1,776,1,0
1,1,1,776,2,0
1,1,1,776,3,0
1,1,1,776,4,17323
1,1,1,776,5,0
1,2,1,777,1,0
1,2,1,777,2,0
1,2,1,777,3,0
1,2,1,777,4,8415
1,2,1,777,5,0
2,1,1,779,1,0
2,1,1,779,2,0
2,1,1,779,3,0
2,1,1,779,4,3656160
2,1,1,779,5,8257
3,1,1,784,1,0
3,1,1,784,2,0
3,1,1,784,3,0
3,1,1,784,4,135203
3,1,1,784,5,0
4,1,1,785,1,0
4,1,1,785,2,0
4,1,1,785,3,0
4,1,1,785,4,45637
4,1,1,785,5,0
5,1,1,780,1,0
5,1,1,780,2,0
5,1,1,780,3,0
5,1,1,780,4,796
5,1,1,780,5,3070
5,2,1,782,1,0
5,2,1,782,2,0
5,2,1,782,3,0
5,2,1,782,4,0
5,2,1,782,5,1787
