款,項,目,細目,財源内訳,決算額
1,1,1,35,1,0
1,1,1,35,2,0
1,1,1,35,3,0
1,1,1,35,4,126370
1,1,1,35,5,0
1,1,1,789,1,7867
1,1,1,789,2,0
1,1,1,789,3,0
1,1,1,789,4,59399
1,1,1,789,5,0
1,1,1,790,1,0
1,1,1,790,2,0
1,1,1,790,3,0
1,1,1,790,4,541
1,1,1,790,5,0
1,1,2,791,1,0
1,1,2,791,2,0
1,1,2,791,3,0
1,1,2,791,4,500
1,1,2,791,5,0
1,1,2,874,1,0
1,1,2,874,2,0
1,1,2,874,3,0
1,1,2,874,4,65
1,1,2,874,5,0
1,1,3,792,1,0
1,1,3,792,2,0
1,1,3,792,3,0
1,1,3,792,4,4
1,1,3,792,5,0
1,2,1,793,1,0
1,2,1,793,2,0
1,2,1,793,3,0
1,2,1,793,4,2682
1,2,1,793,5,0
1,3,1,794,1,0
1,3,1,794,2,0
1,3,1,794,3,0
1,3,1,794,4,9470
1,3,1,794,5,0
1,3,2,795,1,0
1,3,2,795,2,0
1,3,2,795,3,0
1,3,2,795,4,41877
1,3,2,795,5,0
2,1,1,804,1,1693753
2,1,1,804,2,1251324
2,1,1,804,3,0
2,1,1,804,4,5461903
2,1,1,804,5,0
2,2,1,811,1,55793
2,2,1,811,2,36190
2,2,1,811,3,0
2,2,1,811,4,171106
2,2,1,811,5,0
2,3,1,812,1,2217
2,3,1,812,2,1242
2,3,1,812,3,0
2,3,1,812,4,6474
2,3,1,812,5,0
2,4,1,815,1,63561
2,4,1,815,2,35243
2,4,1,815,3,0
2,4,1,815,4,183142
2,4,1,815,5,0
2,5,1,817,1,7854
2,5,1,817,2,4330
2,5,1,817,3,0
2,5,1,817,4,22458
2,5,1,817,5,0
2,6,1,816,1,40306
2,6,1,816,2,39150
2,6,1,816,3,0
2,6,1,816,4,147229
2,6,1,816,5,0
2,7,1,870,1,2405
2,7,1,870,2,0
2,7,1,870,3,0
2,7,1,870,4,0
2,7,1,870,5,0
4,1,1,36,1,10341
4,1,1,36,2,5171
4,1,1,36,3,0
4,1,1,36,4,11349
4,1,1,36,5,0
4,1,1,831,1,113779
4,1,1,831,2,40463
4,1,1,831,3,0
4,1,1,831,4,55957
4,1,1,831,5,0
4,1,1,902,1,1707
4,1,1,902,2,853
4,1,1,902,3,0
4,1,1,902,4,1872
4,1,1,902,5,0
4,1,1,903,1,3313
4,1,1,903,2,1657
4,1,1,903,3,0
4,1,1,903,4,3642
4,1,1,903,5,0
4,1,1,904,1,6868
4,1,1,904,2,3434
4,1,1,904,3,0
4,1,1,904,4,7537
4,1,1,904,5,0
4,1,1,916,1,93
4,1,1,916,2,47
4,1,1,916,3,0
4,1,1,916,4,102
4,1,1,916,5,0
4,1,1,924,1,17
4,1,1,924,2,8
4,1,1,924,3,0
4,1,1,924,4,19
4,1,1,924,5,0
4,1,2,940,1,6722
4,1,2,940,2,3735
4,1,2,940,3,0
4,1,2,940,4,19421
4,1,2,940,5,0
4,1,2,941,1,72499
4,1,2,941,2,26850
4,1,2,941,3,0
4,1,2,941,4,115472
4,1,2,941,5,0
4,1,2,942,1,5882
4,1,2,942,2,3267
4,1,2,942,3,0
4,1,2,942,4,16989
4,1,2,942,5,0
4,1,2,943,1,89
4,1,2,943,2,50
4,1,2,943,3,0
4,1,2,943,4,259
4,1,2,943,5,0
4,1,2,944,1,71
4,1,2,944,2,39
4,1,2,944,3,0
4,1,2,944,4,203
4,1,2,944,5,0
4,1,3,945,1,7428
4,1,3,945,2,1935
4,1,3,945,3,0
4,1,3,945,4,6114
4,1,3,945,5,0
4,1,4,946,1,134
4,1,4,946,2,74
4,1,4,946,3,0
4,1,4,946,4,387
4,1,4,946,5,0
5,1,1,820,1,41797
5,1,1,820,2,0
5,1,1,820,3,0
5,1,1,820,4,64459
5,1,1,820,5,653137
7,1,1,823,1,0
7,1,1,823,2,0
7,1,1,823,3,0
7,1,1,823,4,3996
7,1,1,823,5,0
7,1,3,824,1,0
7,1,3,824,2,0
7,1,3,824,3,0
7,1,3,824,4,351
7,1,3,824,5,146933
7,3,1,826,1,0
7,3,1,826,2,0
7,3,1,826,3,0
7,3,1,826,4,10
7,3,1,826,5,174
