"職種","職層別現員 係長[人]","職層別現員 主査[人]","職層別現員 主任[人]","職層別現員 主事[人]","職層別現員 校・園長[人]","職層別現員 副校･園長[人]","職層別現員 主幹教諭[人]","職層別現員 主任教諭[人]","職層別現員 教諭[人]","職層別現員 計[人]","所属別現員 教育委[人]","所属別現員 中学校[人]","所属別現員 小学校[人]","所属別現員 幼稚園[人]","定数外 自治法上派遣[人]","定数外 休職、結核休養[人]","定数外 育休、公務災害休養[人]","定数外 配偶者同行休業[人]"
"事務","0","2","9","2","0","0","0","0","0","13","0","8","5","0","0","0","0","0"
"Ⅰ自動車運転","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"Ⅱ警備","0","0","3","1","0","0","0","0","0","4","0","1","3","0","0","0","0","0"
"Ⅱ作業Ⅰ","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"Ⅲ調理","1","0","29","6","0","0","0","0","0","36","0","4","31","1","0","1","0","0"
"Ⅲ用務","2","0","25","8","0","0","0","0","0","35","0","6","25","4","0","0","0","0"
"Ⅲ作業Ⅱ","0","0","5","0","0","0","0","0","0","5","0","0","5","0","0","0","0","0"
"幼稚園教育職員","0","0","0","0","11","6","0","12","47","76","1","0","0","75","2","0","9","0"
"新指導主事","0","0","0","0","2","1","3","0","0","6","6","0","0","0","0","0","0","0"
"(2)学校関係計","3","2","73","17","13","7","3","12","47","177","7","20","70","80","2","1","9","0"

"令和元年度港区行政資料集　学校関係職員（常勤職員）","Ver201904",,,,,,,,,,,,,,,,,
