年度,元年度,2年度,3年度,4年度,5年度
他自治体への流出額,23億円,24億4千万円,30億7千万円,39億4千万円,45億4千万
件数,"36,000件","38,700件","50,500件","62,600件","70,600件"
流出の推移,-,"6％増
(前年度比)","26％増
(前年度比)","28％増
(前年度比)","15％増
(前年度比)"
品川区への寄附額,"4,880万円","3,268万円","6,680万円","9,837万円","1,150万円
（6月末集計）"
件数,342件,687件,508件,512件,"30件
（6月末集計）"
