施設名,所在地,町会・自治会名,区域,緯度,経度
日野学園,東五反田2-11-1,"五反田一丁目町会
東五反田みづほ町会
五反田中部町会
五反田東口町会
五反田睦町会
西五反田一・二・三町会
島津山自生会
都営東五反田二丁目アパート自治会","東五反田1丁目(一部)
東五反田2丁目(一部)
東五反田3丁目(一部)
東五反田5丁目(一部)
西五反田1丁目(一部)
西五反田2丁目(一部)
西五反田3丁目(一部)",35.624540 ,139.728310 
第三日野小学校,上大崎1-19-19,"池田山町会
袖が崎町会
相生会
上大崎一丁目町会
上大崎一丁目愛誠会
上大崎一丁目第一愛誠会
上大崎池の谷町会
上大崎目黒駅前町会
上大崎三丁目町会
目黒駅前西口町会
中丸親和町会
上大崎長者丸町会","東五反田1丁目(一部)
東五反田3丁目(一部)
東五反田4丁目(一部)
東五反田5丁目(一部)
上大崎1丁目全域
上大崎2丁目全域
上大崎3丁目全域",35.632789 ,139.723939 
第四日野小学校,西五反田4-29-9,"夕陽会
大崎本町三丁目町会
西五反田四丁目町会
西五反田五丁目西三町会
西五反田谷山会","上大崎3丁目(一部)
上大崎4丁目全域
西五反田3丁目(一部)
西五反田4丁目全域
西五反田5丁目(一部)
小山1丁目(一部)
小山台1丁目(一部)",35.625638 ,139.712241 
第一日野小学校,西五反田6-5-32,"西五反田一丁目町会
西五反田本町会
西五反田七・五・三町会
西五反田西二町会
西五反田協和町会
西五反田六丁目町会
西五反田南町会","西五反田1丁目(一部)
西五反田2丁目(一部)
西五反田3丁目(一部)
西五反田5丁目(一部)
西五反田6丁目
西五反田7丁目
西五反田8丁目(一部)
大崎4丁目(一部)
荏原1丁目(一部)",0.000000 ,0.000000 
芳水小学校,大崎3-12-22,"大崎一二三町会
大崎三五町会
大崎四丁目町会
大崎居木橋町会
大崎ウエストシティタワーズ自治会","大崎1丁目全域
大崎2丁目全域
大崎3丁目全域
大崎4丁目(一部)
大崎5丁目全域
西五反田8丁目(一部)",35.618570 ,139.724154 
三木小学校,西品川3-16-28,"西品川三栄会
協力睦会
西品川新生会
西品川三ツ木会","西品川1丁目(一部)
西品川2丁目(一部)
西品川3丁目(一部)
豊町1丁目(一部)",35.615256 ,139.726544 
大崎中学校,西品川3-10-6,"品川尚和会
西品川二丁目会","西品川2丁目(一部)
西品川3丁目(一部)
戸越1丁目(一部)",35.615794 ,139.723207 
