地区,町会・自治会名,一時集合場所
荏原第一地区                     ,小山台一丁目町会,小山台1丁目防災広場
荏原第一地区                     ,小山台一丁目東町会,小山台東公園
荏原第一地区                     ,小山台二丁目町会,小山台公園
荏原第一地区                     ,小山一丁目町会,大陽日酸(株)
荏原第一地区                     ,小山二丁目東部町会,後地公園
荏原第一地区                     ,小山二丁目西部町会,後地クマさん広場
荏原第一地区                     ,小山三丁目町会,小山台高等学校
荏原第一地区                     ,小山四丁目町会,小山小学校
荏原第一地区                     ,小山五丁目町会,小山五丁目児童遊園
荏原第一地区                     ,荏原一丁目町会,荏原一丁目防災活動広場
荏原第一地区                     ,荏原二丁目町会,荏原二丁目公園
荏原第一地区                     ,荏原三丁目町会,荏原3丁目防災活動広場
荏原第一地区                     ,荏原四丁目町会,スクエア荏原
荏原第一地区                     ,中原共和町会,中原東公園・平塚中央公園
荏原第二地区,小山六丁目町会,江戸見坂公園
荏原第二地区,小山七丁目町会,小山倶楽部
荏原第二地区,荏原五丁目町会,小山小学校
荏原第二地区,荏原六丁目町会,荏原南公園
荏原第二地区,荏原七丁目町会,小山八幡神社
荏原第二地区,旗の台一丁目町会,旗の台1丁目防災活動広場
荏原第二地区,旗の台二丁目町会,清水台小学校
荏原第二地区,旗の台西二丁目町会,清水台小学校
荏原第二地区,小山洗足町会,清水台小学校
荏原第二地区,旗の台六丁目町会,清水台小学校
荏原第二地区,旗の台南町会,旗の台公園
荏原第三地区,平塚一丁目町会,梅宮医院前道路上
荏原第三地区,平塚一丁目南部町会,竹の子公園
荏原第三地区,平塚二丁目町会,京陽公園
荏原第三地区,平塚三丁目町会,荏原平塚学園
荏原第三地区,平塚四丁目町会,スクエア荏原
荏原第三地区,中延一丁目町会,中延小学校
荏原第三地区,中延二丁目町会,延山小学校
荏原第三地区,東中延一丁目町会,東中はなみずき公園
荏原第三地区,西中延一丁目町会,中延公園・荏原六丁目防災広場
荏原第三地区,西中延二丁目町会,延山小学校
荏原第三地区,戸越銀座町会,戸越台中学校
荏原第三地区,戸越一丁目町会,戸越台中学校・大崎中学校
荏原第三地区,戸越二丁目町会,戸越2丁目広場
荏原第三地区,戸越三丁目町会,宮前小学校
荏原第三地区,戸越四丁目町会,大崎高校
荏原第三地区,戸越五丁目町会,大崎高校
荏原第四地区,中延三丁目町会,中延3丁目防災活動広場
荏原第四地区,中延四丁目町会,源氏前小学校
荏原第四地区,中延五丁目町会,中延みちしるべ防災広場
荏原第四地区,荏原町町会,荏原町公園
荏原第四地区,東中延二丁目町会,東中延公園・大原公園
荏原第四地区,東中三町会,源氏前小学校・上神明小学校
荏原第四地区,中延六丁目町会,源氏前小学校
荏原第四地区,西中延三丁目町会,西中お日さま公園・延山くすのき公園
荏原第四地区,旗の台三丁目町会,立会川児童遊園（カエル公園）
荏原第四地区,旗の台四丁目町会,旗台小学校
荏原第四地区,旗の台五丁目町会,荏原第五中学校
荏原第四地区,戸越六丁目町会,大原小学校
荏原第四地区,豊町六丁目町会,上神明小学校
荏原第四地区,二葉四丁目町会,原っぱ公園
荏原第五地区,豊町一丁目町会,かやの木広場
荏原第五地区,豊町二丁目親和会,戸越小学校
荏原第五地区,豊町三丁目町会,旧荏原第四中学校
荏原第五地区,豊町四丁目町会,杜松ホーム・旧荏原第四中学校
荏原第五地区,豊町五丁目町会,杜松ホーム
荏原第五地区,二葉一丁目町会,二葉一丁目町会会館（二葉1-11-2）
荏原第五地区,二葉神明町会,なし
荏原第五地区,二葉二丁目町会,ＮＦパークビルポケットパーク
荏原第五地区,二葉中央町会,ＮＦパークビルポケットパーク
荏原第五地区,二葉三丁目町会,上神明小学校
