種別,名称,所在地,所有者,緯度,経度
建造物 ,旧島津家本邸,東五反田3-16-21,清泉女子大学,35.627345 ,139.728232 
"重要文化財
絵画",絹本著色仏眼曼荼羅図,南品川3-5-17,品川寺,35.609711 ,139.743527 
"重要文化財
工芸品",金小札色々威胴丸,大井4-22-16,西光寺,35.600257 ,139.732992 
史跡,沢庵墓,北品川4-11-8,東海寺大山墓地,35.617099 ,139.735705 
史跡,賀茂真淵墓,北品川4-11-8,東海寺大山墓地,35.617099 ,139.735705 
史跡,大森貝塚,"上大崎2丁目
港区白金5-21-5",－,35.593104 ,139.730236 
天然記念物および史跡,旧白金御料地,"上大崎2丁目
港区白金5-21-5",－,35.637360 ,139.721015 
重要無形民俗文化財,江戸の里神楽（品川神社）,東大井2-16-7,間宮社中,35.600328 ,139.741562 
