管轄,水利番号,所在地,使用条件容量(m3),緯度,経度
大井消防署,200,西大井4-23-11,40,35.5928548,139.7192777
大井消防署,44,大井7-29-11,40,35.5941708,139.7294332
大井消防署,82,南大井3-27-5,40,35.5885649,139.7336053
大井消防署,73,南大井5-16,40,35.5936547,139.7314481
大井消防署,84,南大井5-16-1,40,35.5915622,139.7301317
大井消防署,400,南大井5-26-12,40,35.5935685,139.7323559
大井消防署,53,南大井6-23-10,40,35.5895905,139.7310709
大井消防署,134,南大井2-3-14,100,35.5923419,139.7370680
大井消防署,255,南大井3-7-10,40,35.5915389,139.7347270
大井消防署,16,南大井4-18-14,40,35.5933859,139.7348290
大井消防署,572,八潮4-1,20,35.5942588,139.7531464
荏原消防署,125,西大井6-1-29,40,35.6006376,139.7133764
大井消防署,12,西大井4-2-1,40,35.5977428,139.7213955
大井消防署,62,西大井6-10-21,40,35.6005575,139.7198597
大井消防署,64,西大井6-17-9,40,35.6001846,139.7157608
大井消防署,65,西大井5-7-25,40,35.5993421,139.7163801
大井消防署,69,西大井5-22-25,40,35.5966075,139.7175352
大井消防署,139,西大井5-5-14,100,35.5982578,139.7155050
大井消防署,144,西大井6-13-1,40,35.6007766,139.7174674
大井消防署,700,西大井2-5-21,60,35.5987941,139.7214627
大井消防署,701,西大井2-5-21,40,35.5989616,139.7214142
大井消防署,212,西大井3-16,40,35.5945979,139.7220205
大井消防署,403,西大井3-16-21,40,35.5946535,139.7228750
大井消防署,207,西大井4-1-8,50,35.5977811,139.7210381
大井消防署,203,西大井5-6-8,40,35.5983882,139.7176437
大井消防署,331,西大井5-22-8,40,35.5982051,139.7168724
大井消防署,359,西大井5-22-1,20,35.5978424,139.7168127
大井消防署,536,西大井5-7-24,40,35.5991641,139.7172064
大井消防署,405,西大井6-13,100,35.5999333,139.7179621
大井消防署,406,西大井6-13-10,20,35.6001004,139.7179140
大井消防署,56,西大井2-19-3,40,35.6004157,139.7258027
大井消防署,58,西大井2-23-10,40,35.5982081,139.7251432
大井消防署,363,西大井3-4-14,100,35.5969443,139.7239306
大井消防署,397,大井4-29-22,40,35.5985687,139.7321097
大井消防署,36,大井5-7-16,40,35.5996784,139.7305864
大井消防署,39,大井5-1-37,40,35.5991599,139.7261737
大井消防署,80,大井5-17-9,100,35.5983978,139.7281535
大井消防署,138,大井5-19-5,40,35.5982558,139.7284766
大井消防署,296,大井5-10-2,100,35.5989719,139.7300758
大井消防署,684,大井5-1-37,90,35.6001569,139.7259510
大井消防署,43,大井6-18-36,100,35.5955686,139.7298784
大井消防署,107,大井6-1-32,100,35.5982984,139.7311441
大井消防署,279,大井6-11-16,40,35.5967203,139.7299963
大井消防署,388,大井6-8-2,100,35.5968412,139.7326464
大井消防署,193,大井7-3-6,100,35.5973356,139.7267748
大井消防署,609,南大井5-19-9,101,35.5947498,139.7334306
大井消防署,72,南大井5-16-30,40,35.5955577,139.7326837
大井消防署,172,勝島1-6-1,40,35.5980791,139.7438933
大井消防署,414,勝島3-1-3,40,35.5963052,139.7418218
大井消防署,493,勝島1-3-18,101,35.5982866,139.7442607
大井消防署,497,勝島1-3-12,69,35.5986531,139.7450374
大井消防署,254,東大井2-26-18,40,35.5979122,139.7408899
大井消防署,374,東大井2-16-12,40,35.6006405,139.7414735
大井消防署,354,東大井3-18-34,100,35.5998354,139.7378500
大井消防署,136,南大井1-12-10,100,35.5965387,139.7374016
大井消防署,137,南大井1-13-7,100,35.5953684,139.7368522
大井消防署,133,南大井4-8-2,100,35.5974824,139.7355720
大井消防署,295,南大井4-6-20,40,35.5969681,139.7368464
大井消防署,375,南大井4-3-27,40,35.5979426,139.7357210
大井消防署,250,南大井5-2,40,35.6003575,139.7349309
大井消防署,381,八潮5-8-3,80,35.5972047,139.7519578
大井消防署,391,八潮5-9-2,100,35.5984140,139.7516258
大井消防署,531,八潮5-5,40,35.5987511,139.7490340
荏原消防署,158,旗の台5-2-2,100,35.6049501,139.7006828
荏原消防署,110,旗の台6-3-20,40,35.6073510,139.6959749
荏原消防署,494,旗の台6-31-4,40,35.6056294,139.6973698
荏原消防署,233,中延3-9-2,100,35.6077710,139.7109463
荏原消防署,408,中延4-1-1,100,35.6065821,139.7087270
荏原消防署,401,中延4-14-7,40,35.6051653,139.7101696
荏原消防署,118,中延5-11-33,40,35.6013305,139.7062471
荏原消防署,119,中延5-12-8,40,35.6012101,139.7089357
荏原消防署,336,中延5-14,100,35.6023851,139.7088590
荏原消防署,121,中延6-2-18,100,35.6029307,139.7116940
荏原消防署,383,旗の台3-1,40,35.6061321,139.7061302
荏原消防署,117,旗の台4-6-11,40,35.6031120,139.7053969
荏原消防署,5,旗の台4-7-11,100,35.6029768,139.7042631
荏原消防署,411,旗の台4-15-8,40,35.6016197,139.7058804
荏原消防署,324,旗の台5-25-19,100,35.6032764,139.7012114
荏原消防署,108,旗の台6-22-21,40,35.6077034,139.7009167
荏原消防署,107,旗の台6-22-21,40,35.6068086,139.7018018
荏原消防署,122,二葉4-4-12,100,35.6026523,139.7156953
荏原消防署,86,豊町3-10-22,40,35.6074787,139.7229399
荏原消防署,102,豊町4-5-18,40,35.6070099,139.7209199
荏原消防署,452,豊町4-19-20,100,35.6054385,139.7212786
荏原消防署,101,豊町4-24-15,100,35.6054396,139.7227538
荏原消防署,250,豊町5-14-3,40,35.6053439,139.7201118
荏原消防署,103,豊町6-17-7,100,35.6048231,139.7161345
荏原消防署,127,東中延2-5-10,100,35.6078140,139.7139475
荏原消防署,249,中延6-4-16,100,35.6023470,139.7123126
荏原消防署,83,戸越6-8-2,49,35.6076064,139.7181462
荏原消防署,169,戸越6-14-1,100,35.6070460,139.7142032
荏原消防署,82,戸越6-17-3,100,35.6069064,139.7164426
大井消防署,302,西大井1-3,100,35.6020612,139.7220526
大井消防署,341,西大井6-5-4,40,35.6011423,139.7185256
大井消防署,693,西大井6-2-16,40,35.6012040,139.7153208
大井消防署,724,西大井6-3-1,100,35.6012432,139.7161774
荏原消防署,92,二葉1-3-9,40,35.6071680,139.7266475
荏原消防署,91,二葉1-3-24,40,35.6063171,139.7255736
荏原消防署,94,二葉1-21-1,40,35.6064992,139.7284774
荏原消防署,99,二葉2-9-15,48,35.6053174,139.7245431
荏原消防署,152,二葉2-19,100,35.6030365,139.7236646
大井消防署,722,西大井1-4,100,35.6021870,139.7237834
大井消防署,27,大井1-43-7,40,35.6037150,139.7324182
大井消防署,95,大井1-46,40,35.6046431,139.7323674
大井消防署,28,大井2-5-15,100,35.6042015,139.7273960
大井消防署,170,大井2-1-25,100,35.6065495,139.7295519
大井消防署,176,大井2-1-25,40,35.6065136,139.7291030
大井消防署,278,大井2-27-20,70,35.6039615,139.7305238
大井消防署,30,大井3-17-11,40,35.6017358,139.7311331
大井消防署,140,大井3-7-19,100,35.6027906,139.7295260
大井消防署,33,大井4-12-14,40,35.6018190,139.7331596
大井消防署,25,大井1-2-12,40,35.6063804,139.7346009
大井消防署,26,大井1-2-12,40,35.6064527,139.7343687
大井消防署,14,東大井1-3-34,40,35.6060770,139.7440774
大井消防署,132,東大井1-4,100,35.6057022,139.7441512
大井消防署,131,東大井1-4,100,35.6059607,139.7448576
大井消防署,437,東大井2-1,40,35.6027525,139.7407670
大井消防署,175,東大井3-4,100,35.6039955,139.7385983
大井消防署,528,東大井3-6-12,100,35.6036788,139.7402926
大井消防署,198,東大井4-8-4,40,35.6050980,139.7407619
大井消防署,280,東大井4-3-18,40,35.6056576,139.7416283
