災害種別,"警戒レベル
  ",避難情報の種類,発令基準,住民の行動
（1）土砂災害,警戒レベル3,高齢者等避難の発令,大雨警報（土砂災害）が発表された場合（夜間に大雨警報（土砂災害）に切り替える可能性が高い場合を含む。）,"避難対象地域にいる人は最寄りの避難場所へ立退き避難の準備
避難行動要支援者等は避難を開始"
（1）土砂災害,警戒レベル4,避難指示の発令,土砂災害警戒情報が発表された場合（大雨警報（土砂災害）中の記録的短時間大雨情報発表を含む。）,避難場所等への立退き避難を開始
（1）土砂災害,警戒レベル5,緊急安全確保の発令,大雨特別警報が発表された場合（がけ崩れの発生と前兆現象の発見を含む。）,命の危険があることから直ちに安全確保し、相対的に安全である場所へ直ちに移動
（2）目黒川氾濫,警戒レベル3,高齢者等避難の発令,なし,なし
（2）目黒川氾濫,警戒レベル4,避難指示の発令,荏原調節池上流観測所における水位が氾濫危険水位（A.P.＋4.47m）に達し、目黒川氾濫危険情報が発表された場合,屋内安全確保（安全な上階へ垂直避難または浸水しない上層階に留まる）、あるいは避難場所等への立退き避難
（2）目黒川氾濫,警戒レベル5,緊急安全確保の発令,荏原調節池上流観測所における水位が氾濫発生水位（A.P+5.42m)に達した場合,命の危険があることから直ちに安全を確保し、相対的に安全である場所へ直ちに移動
（3）高潮浸水,警戒レベル3,高齢者等避難の発令,"高潮注意報の発表において警報に切り替える可能性が高い旨に言及された場合
","避難対象地域にいる人は屋内安全確保または最寄りの避難場所への立退き避難の準備

避難行動要支援者等は避難を開始


"
（3）高潮浸水,警戒レベル4,避難指示の発令,"高潮警報（警戒レベル４相当情報［高潮］）発表された場合
（高潮特別警報（警戒レベル４相当情報［高潮］）を含む。）
",避難場所等への立退き避難、あるいは屋内安全確保（安全な上階へ垂直避難または浸水しない上層階に留まる）
（3）高潮浸水,警戒レベル5,緊急安全確保の発令,高潮氾濫発生情報が発表された場合,命の危険があることから直ちに安全を確保し、相対的に安全である場所へ直ちに移動
