施設名,所在地,町会・自治会名,区域,緯度,経度
小山台小学校,小山台1-18-24,"小山台一丁目町会
小山台一丁目東町会
小山台二丁目町会","小山台1丁目全域
小山台2丁目(一部)",35.622760 ,139.703466 
後地小学校,小山2-4-6,"小山一丁目町会
小山二丁目東部町会
小山二丁目西部町会","小山1丁目(一部)
小山2丁目全域",35.835363 ,139.780319 
小山小学校,小山5-10-6,"小山三丁目町会
小山四丁目町会
荏原五丁目町会","小山3丁目全域
小山4丁目全域
荏原5丁目全域",35.616018 ,139.703290 
荏原第一中学校,荏原1-24-30,"荏原一丁目町会
荏原二丁目町会","荏原1丁目(一部)
荏原2丁目(一部)",35.619334 ,139.712736 
荏原第六中学校,小山5-20-19,小山五丁目町会,小山5丁目全域,35.616335 ,139.699882 
第二延山小学校,旗の台1-6-1,"小山六丁目町会
小山七丁目町会
荏原六丁目町会
荏原七丁目町会
旗の台一丁目町会","小山6丁目全域
小山7丁目全域
荏原6丁目(一部)
荏原7丁目全域
旗の台1丁目全域",35.610213 ,139.703529 
清水台小学校,旗の台1-11-17,"小山洗足町会
旗の台二丁目町会
旗の台西二丁目町会
旗の台六丁目町会","旗の台2丁目全域
旗の台6丁目(一部)",35.607124 ,139.702386 
京陽小学校,平塚2-19-20,"平塚一丁目町会
平塚二丁目町会
中原共和町会","平塚1丁目(一部)
平塚2丁目全域
荏原1丁目(一部)
荏原2丁目(一部)",35.330742 ,139.337875 
荏原平塚学園,平塚3-16-26,"平塚一丁目南部町会
平塚三丁目町会
東中延一丁目町会","西中延1丁目(一部)
東中延1丁目全域
荏原2丁目(一部)
戸越5丁目(一部)
平塚1丁目(一部)
平塚3丁目全域",35.615408 ,139.709974 
スクエア荏原,荏原4-5-28,"平塚四丁目町会
荏原三丁目町会
荏原四丁目町会","西中延1丁目(一部)
荏原3丁目全域
荏原4丁目全域",35.615328 ,139.707628 
中延小学校,中延1-11-15,"中延一丁目町会
西中延一丁目町会","中延1丁目全域
中延2丁目(一部)
西中延1丁目(一部)
荏原6丁目(一部)",35.612501 ,139.709992 
延山小学校,西中延2-17-5,"中延二丁目町会
中延三丁目町会
西中延二丁目町会
西中延三丁目町会","中延2丁目(一部)
中延3丁目全域
西中延2丁目全域
西中延3丁目全域",35.608779 ,139.707882 
戸越台中学校,戸越1-15-23,"戸越銀座町会
戸越一丁目町会
戸越二丁目町会","戸越1丁目(一部)
戸越2丁目全域
戸越3丁目(一部)",35.615779 ,139.717207 
宮前小学校,戸越4-5-10,"戸越三丁目町会
戸越四丁目町会
戸越五丁目町会","戸越3丁目(一部)
戸越4丁目全域
戸越5丁目(一部)",35.611768 ,139.718319 
大原小学校,戸越6-17-3,"東中延二丁目町会
戸越六丁目町会","東中延2丁目(一部)
戸越6丁目(一部)
中延4丁目(一部)",35.607167 ,139.716467 
源氏前小学校,中延6-2-18,"中延四丁目町会
荏原町町会
△東中三町会
中延六丁目町会","中延4丁目全域
中延5丁目(一部)
中延6丁目(一部)
東中延2丁目(一部)
二葉4丁目(一部)
西大井6丁目(一部)",35.603165 ,139.712064 
上神明小学校,二葉4-4-10,"豊町六丁目町会
二葉四丁目町会
△東中三町会
二葉三丁目町会","豊町6丁目全域
二葉4丁目(一部)
西大井6丁目(一部)
戸越6丁目(一部)
二葉3丁目（一部）",35.602902 ,139.715789 
旗台小学校,旗の台4-7-11,"中延五丁目町会
旗の台四丁目町会","中延5丁目(一部)
旗の台4丁目全域",35.603162 ,139.703765 
荏原第五中学校,旗の台5-11-13,"旗の台三丁目町会
旗の台五丁目町会
旗の台南町会","旗の台3丁目全域
旗の台5丁目全域
旗の台6丁目(一部)",35.603131 ,139.702106 
戸越小学校,豊町2-1-20,"豊町一丁目町会
豊町二丁目親和会","豊町1丁目全域
豊町2丁目全域
西品川1丁目(一部)
西品川2丁目(一部",35.610814 ,139.720960 
旧荏原第四中学校,豊町3-5-31,"豊町三丁目町会
△豊町四丁目町会","豊町3丁目全域
豊町4丁目（一部）",35.609007 ,139.720938 
豊葉の杜学園,二葉1-3-40,"二葉一丁目町会
二葉神明町会
二葉二丁目町会
二葉中央町会","二葉1丁目全域
二葉2丁目(一部)
大井2丁目(一部)
二葉3丁目(一部)",35.607037 ,139.725560 
杜松ホーム,豊町4-24-15,"△豊町四丁目町会
豊町五丁目町会","豊町4丁目（一部）
豊町5丁目全域",35.606007 ,139.722494 
