車種区分,旧税率,新税率,重課税率
三輪,"3,100円","3,900円","4,600円"
"四輪以上
（乗用・自家用）","7,200円","10,800円","12,900円"
"四輪以上
（乗用・営業用）","5,500円","6,900円","8,200円"
"四輪以上
（貨物・自家用）","4,000円","5,000円","6,000円"
"四輪以上
（貨物・営業用）","3,000円","3,800円","4,500円"
