幼稚園名,定員数,申込者数,募集人数
城南幼稚園,30人,20人,10人
平塚幼稚園,30人,21人,9人
浜川幼稚園,30人,20人,10人
御殿山幼稚園,35人,38人,0人
伊藤幼稚園,30人,13人,17人
第一日野幼稚園,30人,13人,17人
台場幼稚園,33人,25人,8人
二葉幼稚園,60人,54人,6人
八潮わかば幼稚園,30人,34人,1人
