所属団体名,発生時期,地点住所,交通状況,概要,名称,緯度,経度
荏原三丁目町会,令和3年・平日,荏原３丁目５番１号付近,,信号もなく、ヤマト運輸・佐川急便の営業所もあるためトラックの交通量も多い。荏原２丁目から入る鋭角な道路からの見通しも悪く、通学路のため子供たちも多いので危険。,ヒヤリハット地点,35.61761187,139.7085664
荏原三丁目町会,令和３年・平日,荏原３丁目１番１１号付近,,荏原３丁目方面に向かう小山２丁目・荏原２丁目に挟まれた狭い道が鋭角で見通しが悪い。加えて自転車の交通量も多く道を抜ける際に自転車と衝突する危険性が高い。,ヒヤリハット地点,35.61841655,139.7083461
荏原三丁目町会,,荏原３丁目８番１２号,,路上駐車が多く、自転車の通行も多い。２６号線との交差点で人も多く、何度も危ない場面を見た。,ヒヤリハット地点,35.61711954,139.7064248
品川区新聞販売同業組合,,西五反田６丁目２２番３号,自動車とバイク,見通しが悪く、出合頭でぶつかりそうになった。,ヒヤリハット地点,35.62014705,139.716689
品川区新聞販売同業組合,,小山２丁目２番３号付近,バイク同士,見通しが悪く、出合頭にぶつかりそうになった。,ヒヤリハット地点,35.6224964,139.708724
上神明小学校,令和２年５月頃・８時頃,二葉４丁目３番１２号,,信号のない交差点（横断歩道あり）で、車の一時停止がなくヒヤリとした。,ヒヤリハット地点,35.60230673,139.7146733
御殿山小学校４,,,,道が広くないが、車がよく通る。,安全安心総点検,35.62360387,139.7312813
日野学園,,,,信号機がなく、車の速度が上がりやすい。,安全安心総点検,35.62385755,139.7267826
第一日野小学校１,,,,車や自転車がスピードを出して侵入する。歩行者用信号が短い。,安全安心総点検,35.62519513,139.7186137
第四日野小学校４,,,,車の通りがあり、交差が複雑なため危険である。,安全安心総点検,35.62580986,139.71313
御殿山小学校２,,,,反対側に比べ、ガードレールがほぼない。途中は信号のない横断歩道で危ない。,安全安心総点検,35.62116928,139.7317562
城南小学校１,,,,道が細く、交差点として認識することが難しい。,安全安心総点検,35.61325902,139.7444269
戸越小学校５,,,,交通量が多く、児童の通行も多い。,安全安心総点検,35.61248157,139.7215599
戸越小学校８,,,,見通しが悪い。,安全安心総点検,35.61219315,139.7191771
宮前小学校３,,,,人通り、自転車、バイク等時間帯によって車も多く横断が危険である。,安全安心総点検,35.61405203,139.7177638
宮前小学校１,,,,車、人通りが大変多いので横断時に危険である。,安全安心総点検,35.61487581,139.7187878
京陽小学校３,,,,橋の上の道路の歩道の白線が消えている。,安全安心総点検,35.61796315,139.7176267
京陽小学校１,,,,横断歩道前の「とまれ」の道路標示が消えかかっている。,安全安心総点検,35.61748279,139.7129572
京陽小学校２,,,,一方通行出口が狭い。線の内側を気をつけて歩くよう指導する。,安全安心総点検,35.61725397,139.713089
京陽小学校５,,,,校門を出たところに「とまれ」の道路標示がない。,安全安心総点検,35.614779,139.7136622
京陽小学校４,,,,スクールゾーンの表示が消えかかっている。自転車用レーンに駐車している車両が多い。,安全安心総点検,35.61261113,139.7136654
小山小学校２,,,,アーケードでつながっており、交差点の止まれを見落としやすい。,安全安心総点検,35.61869605,139.7031503
小山小学校１,,,,道路が五方向に分かれており、ゆるい坂になっているので自転車などスピードを出しやすい。,安全安心総点検,35.6148463,139.7026834
清水台小学校１,,,,中原街道に抜ける坂道で児童が横断するときに注意が必要である。坂を下る車両からは「止まれ」の路面標示が認識しづらい。,安全安心総点検,35.60680393,139.7022672
清水台小学校２,,,,下り坂の歩道を自転車がスピードを出したままで降りてくるため、児童は歩道橋を降りて歩道の左側へ寄るときは、必ず振り返って自転車等が来ないかを確かめる必要がある。,安全安心総点検,35.60671075,139.7021096
清水台小学校３,,,,下り坂の歩道を自転車がスピードを出したままで降りてくるため、児童は歩道右側から歩道橋に上がるときは、必ず振り返って自転車等が来ないかを確かめる必要がある。,安全安心総点検,35.60653187,139.7021012
戸越小学校６,,,,渡る児童が多い。,安全安心総点検,35.61145847,139.7203084
戸越小学校７,,,,長い直線のため、車が速度を落とさずに走る。,安全安心総点検,35.61063576,139.7203972
城南小学校13,,,,歩道と車道の区別が白線しかなく、歩道を自転車がスピードを出して走って来るので、下校時自転車と児童がぶつかる事故が起こった。,安全安心総点検,35.61245865,139.7441124
城南小学校11,,,,車の交通量が多い。,安全安心総点検,35.61064855,139.7441757
立会小学校１,,,,幹線道路のため交通量が多い交差点である。,安全安心総点検,35.60365564,139.7405653
立会小学校２,,,,歩道が狭く、信号待ちのスペースが十分にない。,安全安心総点検,35.60504155,139.7378654
大井第一小学校３,,,,三叉路で見通し悪い、車がスピードを出す。,安全安心総点検,35.60094553,139.7335339
源氏前小学校４,,,,国道と抜け道との合流地点のため通行台数が多いが信号機が無い。,安全安心総点検,35.60368142,139.7130655
源氏前小学校１,,,,車が交差して通る場所で通行台数が非常に多いが信号機が無く道幅が狭い。,安全安心総点検,35.60272895,139.7121821
源氏前小学校２,,,,国道への向け道で通行台数が多が横断帯も信号機もない。十字路で死角になる。,安全安心総点検,35.60378801,139.7123382
源氏前小学校３,,,,十字路で見通しが悪く、進入禁止の時間帯でも進入車がある。,安全安心総点検,35.60395834,139.7109625
源氏前小学校５,,,,国道へ向かう道と交差する地点。通行台数や人などの往来が非常に多いが信号機が無い。,安全安心総点検,35.60290679,139.7111568
源氏前小学校６,,,,道幅が狭く見通しが悪い。自動車の通行が可能だが歩道帯が無い。,安全安心総点検,35.60508818,139.710365
清水台小学校５,,,,負傷事故が多く、ヒヤリハット箇所でもある。,安全安心総点検,35.60491188,139.6993529
伊藤小学校１,,,,坂道の出口。車止めがあるが、児童が飛び出しやすい。車止め設置前は、交通事故があった。,安全安心総点検,35.59849898,139.7179263
伊藤小学校２,,,,信号機のない丁字路。過去にヒヤリハット事例があった箇所である。,安全安心総点検,35.59995235,139.7189229
大井第一小学校１,,,,車より自転車の速度が速く、歩行者が危険である。,安全安心総点検,35.59612119,139.7310958
鈴ヶ森小学校１,,,,不法投棄によるごみの散乱が見られる。,安全安心総点検,35.59391486,139.7365296
鈴ヶ森小学校２,,,,ベンチに路上生活者等が多く、ゴミも散乱している。,安全安心総点検,35.59167749,139.7304007
大井第一小学校２,,,,カーブでやや坂になっており、見通しが悪く危険である。,安全安心総点検,35.59483114,139.7285396
