No,市区町村コード,地区コード,地区名,町コード,町名,住所コード,町丁目コード,町丁目名,町丁目名よみ,丁目番号,丁目,街区符号（番）,住所,郵便番号,X座標,Y座標,備考
1,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,1,東京都品川区北品川１丁目１番,140-0001,-8550.11219,-41852.51968,
2,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,2,東京都品川区北品川１丁目２番,140-0001,-8500.03878,-41880.87276,
3,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,3,東京都品川区北品川１丁目３番,140-0001,-8491.82821,-41779.15313,
4,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,5,東京都品川区北品川１丁目５番,140-0001,-8426.21821,-41763.12193,
5,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,6,東京都品川区北品川１丁目６番,140-0001,-8354.83787,-41635.63557,
6,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,7,東京都品川区北品川１丁目７番,140-0001,-8357.17557,-41702.06757,
7,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,8,東京都品川区北品川１丁目８番,140-0001,-8315.62625,-41757.11649,
8,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,9,東京都品川区北品川１丁目９番,140-0001,-8247.60909,-41713.08907,
9,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,10,東京都品川区北品川１丁目１０番,140-0001,-8279.49577,-41666.73415,
10,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,11,東京都品川区北品川１丁目１１番,140-0001,-8240.21843,-41649.12055,
11,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,12,東京都品川区北品川１丁目１２番,140-0001,-8211.29267,-41689.57881,
12,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,13,東京都品川区北品川１丁目１３番,140-0001,-8172.41692,-41666.79369,
13,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,14,東京都品川区北品川１丁目１４番,140-0001,-8192.75679,-41631.27885,
14,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,15,東京都品川区北品川１丁目１５番,140-0001,-8141.70195,-41641.49303,
15,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,16,東京都品川区北品川１丁目１６番,140-0001,-8111.51529,-41727.38843,
16,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,17,東京都品川区北品川１丁目１７番,140-0001,-8147.20059,-41722.56383,
17,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,18,東京都品川区北品川１丁目１８番,140-0001,-8174.6053,-41746.11344,
18,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,19,東京都品川区北品川１丁目１９番,140-0001,-8210.72005,-41769.88966,
19,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,20,東京都品川区北品川１丁目２０番,140-0001,-8275.85554,-41812.43796,
20,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,21,東京都品川区北品川１丁目２１番,140-0001,-8355.90735,-41870.57386,
21,13109,1,品川,11,北品川,011,111,北品川１丁目,キタシナガワイッチョウメ,1,１丁目,22,東京都品川区北品川１丁目２２番,140-0001,-8416.41321,-41912.94367,
