地区,町会・自治会名,一時集合場所
大井第一地区,鮫洲曙町会,都立産業技術高等専門学校グランド
大井第一地区,鮫洲北町会,鮫洲運動公園
大井第一地区,鮫洲仲町会,鮫洲運動公園
大井第一地区,鮫洲南町会,鮫浜小学校
大井第一地区,大井北浜川東町会,鮫浜小学校
大井第一地区,北浜川西町会,浜川中学校
大井第一地区,北浜川仲町会,新浜川公園
大井第一地区,大井南浜町会,しながわ区民公園・鈴ヶ森中学校
大井第一地区,鈴ヶ森町会,鈴ヶ森公園・鈴ヶ森中学校
大井第一地区,大井海岸町会,しながわ区民公園・大井海岸公園
大井第一地区,大井坂下町会,大井坂下公園
大井第一地区,大井水神町会,大井水神公園
大井第一地区,南大井第四町会,浜川小学校・南大井文化センター
大井第一地区,大井寺下町会,浜川公園
大井第一地区,大井関ヶ原町会,関ヶ原公園
大井第一地区,大井元芝町会,東大井公園・鮫浜小学校
大井第一地区,大井立会町会,総合区民会館
大井第一地区,東大井月見台町会,立会小学校
大井第一地区,東大井林町会,立会小学校・大井公園（東）・大井公園（西）
大井第一地区,勝島町会,わかくさ公園
大井第一地区,大森駅前住宅自治会,大森駅前住宅中庭
大井第二地区,大井一丁目権現町会,大井一丁目町会会館前
大井第二地区,大井一丁目鎧町会,大井中央公園
大井第二地区,大井森下町会,宮下公園・森下児童遊園
大井第二地区,大井二丁目町会,大井2丁目防災活動広場一部、町会事務所
大井第二地区,大井三丁目町会,なし
大井第二地区,大井倉田町会,大井倉田町会会館
大井第二地区,大井滝王子町会,滝王子稲荷神社
大井第二地区,西大井一丁目町会,西大井広場公園
大井第三地区,大井鹿島町会,なし
大井第三地区,大井庚塚町会,大井庚塚町会会館
大井第三地区,出石町会,出石公園
大井第三地区,西大井二丁目町会,町会会館
大井第三地区,西大井四丁目町会,西の森公園・西大井4丁目防災活動広場
大井第三地区,西大井五丁目伊藤町会,富士見ヶ丘児童遊園
大井第三地区,西大井六丁目町会,西大井広場公園・西大井6丁目ふれあい広場
