発生日,発生時間,場所,路線,事故当事者,緯度,経度
平成25年6月15日（土）,午前8時32分ころ,品川区平塚３丁目,中原街道,自転車（30代女性・死亡）、中型貨物車（60代男性）,35.61648324170,139.71074836300
,,,,,35.59244712690,139.76246955300
平成25年11月30日（土）,午前5時4分ころ,品川区旗の台２丁目,中原街道,歩行者（60代男性・死亡）、タクシー（60代男性）,35.60824210390,139.70466830600
