単位：人,H19年,H20年,H21年,H22年,H23年,H24年,H25年,H26年,H27年,H28年
男,47 ,37 ,57 ,49 ,60 ,42 ,45 ,46 ,30 ,48 
女,22 ,30 ,24 ,25 ,29 ,29 ,25 ,21 ,11 ,19 
総数,69 ,67 ,81 ,74 ,89 ,71 ,70 ,67 ,41 ,67 
