年,"面積
（平方キロメートル）　",備考
1955（昭和30）,15.82,なし
1967（昭和42）,16.24,南浜川埋め立て・鮫洲埋め立て・品川ふ頭埋め立て
1979（昭和54）,20.54,北浜川埋め立て・大井ふ頭埋め立て
1982（昭和57）,20.91,勝島3丁目埋め立て・13号地埋め立て
1990（平成2）,22.69,勝島2丁目埋め立て
2000（平成12）,22.72,勝島1丁目埋め立て・八潮2丁目埋め立て
2014（平成26）,22.84,国土交通省国土地理院の計測方法の変更により面積増
