消火器番号,設置場所,目標,種別,形式,製造年月,機能年月,格納箱年月,町会,町会名,管轄,緯度,経度
４７Ｂ－１７６,南大井３－３４－７,鳥島ビル,粉末,ウ,2006.03,2006.03,2005.02,80,大井海岸町会,大井第一,35.5874946,139.7333273
０６Ｋ－０２７,南大井３－３４－４,サンテミリオン大森,粉末,壁,2006.09,2006.09,2006.09,80,大井海岸町会,大井第一,35.5875041,139.7336226
０２Ｋ－００７,西大井４－２１－６,アルス山王金子山,粉末,脚,2002.03,2007.02,2002.03,107,西大井四丁目町会,大井第三,35.5940753,139.7203816
０２Ｋ－０１３,西大井４－２１－１０,ブランレーヴ大森蘇峰公園,粉末,脚,2002.04,2002.04,2002.04,107,西大井四丁目町会,大井第三,35.5935392,139.7204828
４７Ｂ－４０１,西大井４－２３－１２,西大井四丁目防災活動広場,粉末,ウ,94,2004.03,89.11,107,西大井四丁目町会,大井第三,35.5927254,139.7194345
４８Ｂ－１５８,西大井４－１９－８,ブリセニヨ,粉末,ウ,2005.08,2005.08,90.1,107,西大井四丁目町会,大井第三,35.5943185,139.7195242
９６Ｋ－０４３,西大井４－１９－９,ナイスステージ西大井,粉末,,97.02,2001.01,97.02,107,西大井四丁目町会,大井第三,35.5941124,139.7192566
０１Ｋ－０２１,南大井３－７－１６,シンシア大森,粉末,脚,2001.08,2007.02,2001.08,79,鈴ケ森町会,大井第一,35.5916535,139.7337696
０１Ｋ－０４１,大井６－２１－１,イオシスガーデン,粉末,脚,2001.11,2007.02,2002.01,103,大井鹿島町会,大井第三,35.5926415,139.7296095
０１Ｋ－０６１,南大井６－２１－１２,近鉄大森ビル,粉末,脚,2002.02,2007.02,2002.02,81,大井坂下町会,大井第一,35.5895793,139.7321812
０２Ｋ－００１,南大井６－６－１２,ロイヤルシャトー大森,粉末,直,2002.03,2007.02,2002.03,82,大井水神町会,大井第一,35.5923456,139.7318885
０２Ｋ－００９,南大井３－２８－１１,東急ドエル　グラフィオ大森,粉末,壁,2002.03,2007.02,2002.03,80,大井海岸町会,大井第一,35.5880615,139.7327412
０２Ｋ－０４７,南大井５－２７,小田マンション,粉末,脚,2002.11,2002.11,2002.11,82,大井水神町会,大井第一,35.5931505,139.7334193
０４Ｋ－０１５,南大井３－２４－１０,シティオ大森,粉末,壁,2006.03,2006.03,2004.05,80,大井海岸町会,大井第一,35.5888808,139.7334686
０４Ｋ－０６０,南大井６－２０－１６,ヴァルトパーク,粉末,脚,2005.02,,,81,大井坂下町会,大井第一,35.5900479,139.7317784
０４Ｋ－０６９,南大井３－８－１６,プロフ南大井,粉末,脚,2005.03,,,79,鈴ケ森町会,大井第一,35.5912541,139.7337674
０４Ｋ－０７０,南大井３－２９－６,スカイコート大森第６,粉末,脚,2005.03,,,80,大井海岸町会,大井第一,35.5880670,139.7334312
０５Ｋ－００６,南大井３－２２－３,サンアリーナ大森,粉末,脚,2005.06,2005.06,2005.06,80,大井海岸町会,大井第一,35.5894052,139.7338608
０５Ｋ－０４０,南大井６－１２－１２,ミオカステーロ南大井,粉末,脚,2006.01,2006.01,2006.01,82,大井水神町会,大井第一,35.5912162,139.7315772
４７Ｂ－１７４,南大井３－２７－５,大井海岸公園,粉末,ウ,2004,2005.01,97.07,80,大井海岸町会,大井第一,35.5883601,139.7334770
４７Ｂ－１７７,南大井３－２３－３,モモタロマンション,粉末,ウ,97,2007.02,94.09,80,大井海岸町会,大井第一,35.5895188,139.7333809
４７Ｂ－１７９,南大井３－１７－１２,サクラハイム大森,粉末,ウ,2003.07,2003.07,98.09,80,大井海岸町会,大井第一,35.5902437,139.7332875
４７Ｂ－１８０,南大井３－２８－１０,ＪＫ大森ビル,粉末,ウ,98,2003.03,83.07,80,大井海岸町会,大井第一,35.5880354,139.7329013
４７Ｂ－１９４,南大井５－２７－４,水神会館,粉末,ア,2003.07,2003.07,87.09,82,大井水神町会,大井第一,35.5935091,139.7335123
４７Ｂ－２００,南大井６－２－１５,水神保育園,粉末,ウ,2003.07,2003.12,87.12,82,大井水神町会,大井第一,35.5927228,139.7327919
４７Ｂ－２０３,南大井５－２５－１５,金沢宅,粉末,ウ,96,2001.12,97.1,82,大井水神町会,大井第一,35.5938857,139.7319644
４７Ｂ－２０４,南大井６－１－２０,都営南大井六丁目住宅,粉末,ウ,2005.03,2005.03,2005.03,82,大井水神町会,大井第一,35.5932607,139.7314120
４７Ｂ－２０５,南大井６－５－１８,ニチメン㈱大森寮,粉末,ウ,2004.08,2004.08,91.08,82,大井水神町会,大井第一,35.5924644,139.7309026
４７Ｂ－２０６,南大井６－２０－７,志乃田ビル,粉末,ウ,92.04,2007.02,84.03,81,大井坂下町会,大井第一,35.5900748,139.7329872
４７Ｂ－２１１,南大井６－２４－１１,カドヤ不動産,粉末,ウ,2006.08,2006.08,2007.01,81,大井坂下町会,大井第一,35.5887693,139.7296097
４７Ｂ－２１２,南大井６－１７－１８,岸川特殊バルブ東京倉庫,粉末,ウ,2003.07,2006.06,97.03,81,大井坂下町会,大井第一,35.5902188,139.7296386
４７Ｂ－２１４,南大井６－１６－１,サンハイツ大森,粉末,ウ,92,2003.03,2005.02,81,大井坂下町会,大井第一,35.5915309,139.7304895
４７Ｂ－２７９,大井６－２０－１３,簡野宅,粉末,ウ,2004.07,2004.07,85.12,103,大井鹿島町会,大井第三,35.5937648,139.7309208
４７Ｂ－２８９,大井７－３０－６,松屋配送所,粉末,ウ,2003.07,2003.07,88.07,103,大井鹿島町会,大井第三,35.5933331,139.7294398
４８Ｂ－０６９,大井６－２０－２１,城南育英会寮,粉末,ウ,98,2003.12,89.11,103,大井鹿島町会,大井第三,35.5940244,139.7296826
４９Ｂ－１７３,南大井３－１７－４,渡部宅,粉末,ウ,92.11,2003.12,88.07,80,大井海岸町会,大井第一,35.5899582,139.7335133
４９Ｂ－１７５,南大井３－２３－１３,中島テーラー,粉末,ウ,95,2007.02,97.09,80,大井海岸町会,大井第一,35.5892721,139.7329861
