管轄,水利番号,所在地,緯度,経度
大井消防署,262,南大井6-27-18,35.5873563,139.7302979
大井消防署,381,南大井3-34-6,35.5874263,139.7335180
大井消防署,394,南大井6-26-10,35.5873739,139.7319008
大井消防署,722,南大井3-35-12,35.5875580,139.7324024
大井消防署,161,西大井4-18-18,35.5941717,139.7182130
大井消防署,163,西大井4-22-20,35.5932002,139.7188545
大井消防署,164,西大井4-24-11,35.5924717,139.7193478
大井消防署,165,西大井4-22-9,35.5934019,139.7203533
大井消防署,166,西大井4-21-23,35.5940163,139.7194311
大井消防署,167,西大井4-21-6,35.5942062,139.7203387
大井消防署,538,西大井4-23-10,35.5930749,139.7192853
大井消防署,539,西大井4-24-16,35.5929573,139.7199599
大井消防署,488,西大井4-18-5,35.5941806,139.7187401
大井消防署,513,西大井4-23-18,35.5932035,139.7203461
大井消防署,253,南大井6-4-6,35.5928455,139.7320640
大井消防署,266,大井7-30-6,35.5935100,139.7294946
大井消防署,334,南大井6-11-1,35.5910729,139.7325104
大井消防署,343,南大井6-20-12,35.5902585,139.7324177
大井消防署,351,南大井5-23-16,35.5939528,139.7330561
大井消防署,353,南大井5-27-14,35.5931723,139.7330552
大井消防署,354,南大井3-1-1,35.5928323,139.7340085
大井消防署,357,南大井6-8-6,35.5921406,139.7334727
大井消防署,356,南大井3-7-19,35.5918508,139.7337002
大井消防署,358,南大井6-3-16,35.5924231,139.7325971
大井消防署,359,南大井6-5-18,35.5925704,139.7312801
大井消防署,360,南大井6-13-15,35.5920843,139.7306450
大井消防署,362,南大井6-13-5,35.5918017,139.7313636
大井消防署,361,南大井6-16-4,35.5914673,139.7307200
大井消防署,363,南大井6-12-13,35.5912546,139.7313890
大井消防署,364,南大井6-9-14,35.5914805,139.7323548
大井消防署,365,南大井6-18-10,35.5908537,139.7319345
大井消防署,366,南大井6-9-6,35.5913878,139.7334241
大井消防署,367,南大井6-11-9,35.5907163,139.7328233
大井消防署,368,南大井3-12-17,35.5909911,139.7334413
大井消防署,379,南大井3-30-1,35.5880169,139.7338346
大井消防署,383,南大井3-23-12,35.5890708,139.7328613
大井消防署,384,南大井3-17-10,35.5899491,139.7331189
大井消防署,385,南大井6-21-10,35.5895501,139.7328717
大井消防署,386,南大井6-21-12,35.5897894,139.7326732
大井消防署,387,南大井6-20-16,35.5901189,139.7316842
大井消防署,388,南大井6-17-18,35.5903354,139.7303027
大井消防署,389,南大井6-25-4,35.5892434,139.7310184
大井消防署,390,南大井6-26-10,35.5886895,139.7326184
大井消防署,391,南大井6-25-12,35.5890345,139.7302254
大井消防署,392,南大井6-28-11,35.5882612,139.7294866
大井消防署,393,南大井6-27-22,35.5879050,139.7298483
大井消防署,250,大井6-21-10,35.5938457,139.7297516
大井消防署,479,大井6-21-2,35.5928344,139.7294550
大井消防署,840,大井7-28-1,35.5942253,139.7284069
大井消防署,464,南大井3-22-5,35.5895222,139.7340135
大井消防署,466,南大井3-18-10,35.5899870,139.7337026
大井消防署,508,南大井6-22-7,35.5894405,139.7323714
大井消防署,506,南大井6-18-1,35.5900775,139.7302650
大井消防署,505,南大井6-18-1,35.5911570,139.7308687
大井消防署,507,南大井6-27-22,35.5887929,139.7308665
