種類,種別,耐震化率,耐震化率,耐震化率,耐震化率
,,"前回
平成24（2012年度）","現状
平成29（2017）年度","目標
令和2（2020）年度","目標
令和7（2025）年度"
住宅,住宅全体,82.9%," 88.4%
（5.5ポイント増）",95%,耐震性が不十分な住宅をおおむね解消
住宅,木造住宅,62.0%,68.3%,95%,耐震性が不十分な住宅をおおむね解消
住宅,非木造住宅,89.8%,94.2%,95%,耐震性が不十分な住宅をおおむね解消
住宅,マンション,90.1%,94.7%,95%,耐震性が不十分な住宅をおおむね解消
民間特定建築物,多数の者が利用する一定規模以上の建築物,91.6%," 94.2%
（2.6ポイント増）",95%,更なる耐震化の促進
民間特定建築物,危険物を取り扱う施設,92.6%," 95.9%
（3.3ポイント増）",更なる耐震化の促進,耐震性が不十分な建築物をおおむね解消
民間特定建築物,緊急輸送道路沿道建築物,76.8%," 81.4%
（4.6ポイント増）",90%,95%
区有建築物,防災上重要な施設,93.9%," 98.7%
（4.8ポイント増）",100%,
区有建築物,その他の施設,87.5%," 100.0%
（12.5ポイント増）",100%,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
