施設名,所在地,町会・自治会名,区域,緯度,経度
立会小学校,東大井4-15-9,"大井立会町会
東大井林町会
東大井月見台町会
鮫洲仲町会
△大井元芝町会","東大井1丁目(一部)
東大井3丁目(一部)
東大井4丁目(一部)
東大井5丁目(一部)
東大井6丁目(一部)",35.604432 ,139.740166 
鮫浜小学校,東大井2-10-14,"鮫洲北町会
△大井元芝町会
鮫洲曙町会
鮫洲南町会
大井北浜川東町会
北浜川仲町会","東大井1丁目(一部)
東大井2丁目(一部)",35.601239 ,139.740684 
浜川中学校,東大井3-18-34,"大井関ヶ原町会
北浜川西町会","東大井2丁目(一部)
東大井3丁目(一部)
東大井6丁目(一部)",35.600218 ,139.738660 
浜川小学校,南大井4-3-27,"大井寺下町会
△南大井第四町会
△大井南浜町会","南大井1丁目(一部)
南大井4丁目(一部)
南大井5丁目(一部)
東大井6丁目(一部)",35.598117 ,139.735810 
鈴ケ森小学校,南大井4-16-2,"大井水神町会
大井坂下町会
大森駅前住宅自治会
△鈴ケ森町会
△大井海岸町会","南大井3丁目全域
南大井5丁目(一部)
南大井6丁目(一部)",35.594487 ,139.735286 
鈴ケ森中学校,南大井2-3-14,"△鈴ケ森町会
△大井海岸町会
勝島町会
△大井南浜町会
△南大井第四町会","南大井1丁目(一部)
南大井2丁目全域
勝島1丁目全域
勝島2丁目全域",35.593081 ,139.738319 
山中小学校,大井3-7-19,"大井一丁目権現町会
大井一丁目鎧町会
大井三丁目町会
大井森下町会
大井二丁目町会","大井1丁目全域
大井2丁目全域
大井3丁目全域
二葉1丁目(一部)",35.602861 ,139.729955 
伊藤学園,大井5-1-37,"大井滝王子町会
西大井1丁目町会","大井5丁目全域
西大井1丁目全域",35.599873 ,139.726009 
大井第一小学校,大井6-1-32,"大井鹿島町会
大井庚塚町会
大井倉田町会","大井4丁目全域
大井6丁目全域
大井7丁目(一部)",35.598644 ,139.730919 
ウェルカムセンター原,西大井2-5-21,"出石町会
西大井二丁目町会","大井7丁目(一部)
西大井2丁目(一部)
西大井3丁目全域",35.599172 ,139.722257 
伊藤小学校,西大井5-6-8,"西大井四丁目町会
西大井六丁目町会","西大井2丁目(一部)
西大井4丁目全域
西大井6丁目(一部)",35.598691 ,139.717367 
冨士見台中学校,西大井5-5-14,西大井五丁目伊藤町会,西大井5丁目全域,35.598368 ,139.715239 
