種別,施設名称,住所,緯度,経度
区施設,品川区役所,品川区広町2丁目1番36号,35.609181 ,139.730167 
区施設,品川第一区民集会所,品川区北品川3丁目11番16号,35.616673 ,139.740036 
区施設,大崎第一区民集会所,品川区西五反田3丁目6番3号,35.627795 ,139.716815 
区施設,大崎第二区民集会所,品川区大崎2丁目9番4号,35.616808 ,139.727724 
区施設,五反田文化センター,品川区西五反田6丁目5番1号,35.622538 ,139.716574 
区施設,荏原文化センター,品川区中延1丁目9番15号,35.612166 ,139.710676 
区施設,きゅりあん（品川区立総合区民会館）,品川区東大井5丁目18番1号,35.606223 ,139.735889 
都施設,"東京都立産業技術高等専門学校
品川キャンパス",品川区東大井1丁目10番40号,35.606649 ,139.749261 
都施設,城南職業能力開発センター,品川区東品川3丁目31番16号,35.612040 ,139.749783 
都施設,"大井ふ頭中央海浜公園
（スポーツセンター）","品川区八潮4丁目1番19号
品川区八潮4丁目2番1号","35.592387
35.593385","139.752990
139.749833"
都施設,小山台高等学校,品川区小山3丁目3番32号,35.621184 ,139.703525 
都施設,大崎高等学校,品川区豊町2丁目1番7号,35.609565 ,139.721284 
都施設,品川都税事務所,"品川区広町2丁目1番36号
品川区総合庁舎内",35.609181 ,139.730167 
都施設,大井ふ頭中央海浜公園ホッケー競技場,品川区八潮4丁目1番19号,35.592387 ,139.752990 
