エリア,施設名,住所,"太陽光
()内は容量","街路灯
(太陽光)","街路灯
(太陽光
+風力)","太陽熱
(太陽光
+風力)","雨水利用
施設",緯度,経度
品川地区,"総合庁舎
（本庁舎・第3庁舎・議会棟）",品川区広町2-1-36,,,,,〇,35.609181,139.730167
品川地区,第二庁舎（防災センター）,品川区広町2-1-36,〇(4.9kW),,,,〇,35.609181,139.730167
品川地区,品川学園（義務教育学校）,品川区北品川3-9-30,〇(4kW),,〇,,〇,35.617806,139.738675
品川地区,"品川保健センター
健康センター",品川区北品川3-11-22,〇(5kW),,,,〇,35.616524,139.740676
品川地区,御殿山小学校,品川区北品川5-2-6,〇(2kW),,〇,〇,〇,35.622997,139.732415
品川地区,城南小学校,品川区南品川2-8-21,〇(10kW),,〇,〇,,35.613153,139.742914
品川地区,品川区立障害児者総合支援施設,品川区南品川3-7-7,〇(5.5kW),,,,〇,35.607315,139.744776
品川地区,台場小学校,品川区東品川1-8-30,,〇,,,〇,35.620869,139.743667
品川地区,東品川高齢者施設（福栄会）,品川区東品川3-1-8,,,,〇,〇,35.61704,139.746591
品川地区,ファミーユ下神明,品川区西品川1-20-16,,〇,,,,35.610125,139.729188
品川地区,しながわ中央公園（管理棟）,品川区西品川1-27-14,〇(3kW),,〇,〇,,35.609298,139.728815
品川地区,中小企業センター,品川区西品川1-28-3,〇(10kW),,,,,35.609268,139.727762
大崎地区,芳水小学校,品川区大崎3-12-22,〇(17kW),,〇,〇,〇,35.61857,139.724154
大崎地区,第三日野小学校（北棟・南棟）,品川区上大崎1-19-19,なし,〇,,,〇,35.632789,139.723939
大崎地区,上大崎特別養護老人ホーム,品川区上大崎3-10-7,〇(3.2kW),,,,,35.633149,139.718424
大崎地区,"日野学園（義務教育校）
総合体育館",品川区東五反田2-11-1,〇(3kW),,,,〇,35.62454,139.72831
大崎地区,"西五反田複合施設
（高齢者施設・住宅）",品川区西五反田3-6-6,〇(5kW),,,,〇,35.628123,139.716828
大崎地区,ファミーユ西五反田（東館）,品川区西五反田3-6-38,,,〇,,〇,35.62738,139.718208
大崎地区,"第一日野小・幼保一体施設
教育複合施設",品川区西五反田6-5-32,,,〇,,〇,35.622228,139.716127
大井地区,大井三丁目高齢者憩いの場,品川区大井3-17-16,〇(3.8kW),,,,〇,35.601984,139.730544
大井地区,伊藤学園（義務教育学校）,品川区大井5-1-37,〇(4kW),,,,〇,35.599873,139.726009
大井地区,大井認知症高齢者グループホーム,品川区大井6-20-5,〇(3.9kW),,,,,35.59447,139.730376
大井地区,浜川中学校,品川区東大井3-18-34,〇(10kW),,,,,35.600218,139.73866
大井地区,大井林町高齢者複合施設,品川区東大井4-9-1,〇(10kW),,,,〇,35.605258,139.740308
大井地区,立会小学校,品川区東大井4-15-9,〇(10kW),,,,,35.604432,139.740166
大井地区,総合区民会館（きゅりあん）,品川区東大井5-18-1,,,,,〇,35.606223,139.735889
大井地区,冨士見台中学校,品川区西大井5-5-14,〇(10kW),,,,,35.598368,139.715239
大井地区,伊藤小学校,品川区西大井5-6-8,〇(10kW),,,,,35.598691,139.717367
大井地区,区立かがやき園,品川区西大井6-2-14,〇(3kW),,,,,35.600982,139.715268
大井地区,浜川小学校,品川区南大井4-3-27,〇(10kW),,,,,35.598117,139.73581
大井地区,"南大井複合施設
（高齢者施設・住宅）",品川区南大井5-19-1,〇(3kW),,,,〇,35.59463,139.733905
荏原地区,"荏原複合施設
(保健センター・高齢者施設）",品川区荏原2-9-6,〇(3kW),,,,〇,35.617043,139.711019
荏原地区,スクエア荏原,品川区荏原4-5-28,〇(10kW),,,,〇,35.615328,139.707628
荏原地区,後地小学校,品川区小山2-4-6,〇(20kW),,〇,〇,〇,35.835363,139.780319
荏原地区,武蔵小山創業支援センター,品川区小山3-27-5,〇(10kW),,,,,35.619764,139.703344
荏原地区,小山小学校,品川区小山5-10-6,〇(5kW),,,,〇,35.616018,139.70329
荏原地区,荏原第六中学校,品川区小山5-20-19,〇(5kW),,,,〇,35.616335,139.699882
荏原地区,"戸越台複合施設
（中学校・高齢者施設）",品川区戸越1-15-23,〇(2.2kW),,,,〇,35.615779,139.717207
荏原地区,大原小学校,品川区戸越6-17-3,〇(10kW),,,,,35.607167,139.716467
荏原地区,中延高齢者施設,品川区中延6-8-8,〇(3kW),,,,〇,35.601769,139.7116
荏原地区,"平塚橋複合施設
(特養ホーム・ゆうゆうプラザ)",品川区西中延1-2-8,〇(17kW),,,,,35.614369,139.709904
荏原地区,第二延山小学校,品川区旗の台1-6-1,〇(10kW),〇,,,,35.610213,139.703529
荏原地区,旗台小学校,品川区旗の台4-7-11,〇(10kW),,,,,35.603162,139.703765
荏原地区,荏原第五中学校,品川区旗の台5-11-13,〇(20kW),,,,,35.603131,139.702106
荏原地区,荏原第三地域センター,品川区平塚1-13-18,〇(1.6kW),,,,,35.613348,139.715388
荏原地区,平塚高齢者多世代交流支援施設,品川区平塚2-10-20,〇(5.8kW),,,,,35.616926,139.713967
荏原地区,"荏原平塚学園
（義務教育学校）",品川区平塚3-16-26,,,〇,,〇,35.615408,139.709974
荏原地区,豊葉の杜学園（義務教育学校）,品川区二葉1-3-40,〇(1.7kW),,〇,,〇,35.607037,139.72556
荏原地区,杜松高齢者施設,品川区豊町4-24-15,〇(10kW),,,,,35.606007,139.722494
八潮地区,資源化センター,品川区八潮1-4-1,〇(10kW),,,,,35.609525,139.75402
八潮地区,"八潮南特別養護老人ホーム等
高齢者福祉施設",品川区八潮5-9-2,,〇,,,,35.598628,139.752667
八潮地区,こみゅにてぃぷらざ八潮,品川区八潮5-9-11,,〇,,,,35.597916,139.752432
その他,日光しながわ光林荘,栃木県日光市細尾町676-1,,〇,,,〇,36.730275,139.555784
その他,品川荘,静岡県伊東市広野1-3-17,,,,〇,,34.962805,139.091441
その他,公園時計,,,〇,,,,,
