"警戒レベル
  ",避難情報等,避難行動等,発令
警戒レベル5,緊急安全確保,・命の危険があることから直ちに安全を確保する。,品川区
警戒レベル4,避難指示,・危険な場所から全員避難する。,品川区
警戒レベル3,高齢者等避難,"・避難に時間を要する高齢者等は避難を開始する。
・その他の人は避難の準備や自主的に避難を開始する。",品川区
警戒レベル2,大雨・洪水注意報,・避難に備えて、ハザードマップ等で自らの避難行動を確認する。,気象庁
警戒レベル1,早期注意情報,・災害への心構えを高める。,気象庁
