施設名,回収場所,住所,緯度,経度
品川第一地域センター,駐車場,品川区北品川3-11-16,35.616673 ,139.740036 
台場小学校,体育館横,品川区東品川1-8-30,35.620869 ,139.743667 
三木小学校,通用門（体育館側）,品川区西品川3-16-28,35.615256 ,139.726544 
大崎第一地域センター,集会室入口,品川区西五反田3-6-3,35.627795 ,139.716815 
第一日野小学校,通用門,品川区西五反田6-5-32,35.622228 ,139.716127 
日野学園,北側歩道（校舎裏側）1階,品川区東五反田2-11-1,35.624540 ,139.728310 
第三日野小学校,北校舎側　正門駐輪スペース付近,品川区上大崎1-19-19,35.632789 ,139.723939 
後地小学校,給食門側,品川区小山2-4-6,35.621519 ,139.708452 
小山小学校,西門,品川区小山5-10-6,35.616018 ,139.703290 
第二延山小学校,"北門横（旧正門）
プール脇昭和大学側道路沿い",品川区旗の台1-6-1,35.610213 ,139.703529 
大原小学校,校庭側門（プール脇）,品川区戸越6-17-3,35.607167 ,139.716467 
大井第一小学校,滝王子通り側門（第一京浜寄り）,品川区大井6-1-32,35.598644 ,139.730919 
伊藤学園,温水プール入口付近,品川区大井5-1-37,35.599873 ,139.726009 
鈴ケ森小学校,北門（校舎側）,品川区南大井4-16-2,35.594487 ,139.735286 
大井第二地域センター,地域センター入口,品川区大井2-27-20,35.604027 ,139.730464 
八潮地域センター,駐車場,品川区八潮5-10-27,35.600184 ,139.751450 
浅間台小学校,線路側通用門,品川区南品川6-8-8,35.611462 ,139.736584 
大井第三地域センター,地域センター入口付近,品川区西大井4-1-8,35.597669 ,139.721080 
京陽小学校,西側通用門（荏原平塚中学側の角）,品川区平塚2-19-20,35.330742 ,139.337875 
城南第二小学校,裏門,品川区東品川3-4-5,35.615644 ,139.746083 
立会小学校,正門,品川区東大井4-15-9,35.604432 ,139.740166 
旗台小学校,東門,品川区旗の台4-7-11,35.603162 ,139.703765 
豊葉の杜学園,正門,品川区二葉1-3-40,35.607037 ,139.725560 
延山小学校,正門(池門の反対),品川区西中延2-17-5,35.608779 ,139.707882 
宮前小学校,北門,品川区戸越4-5-10,35.611768 ,139.718319 
品川区役所,第三庁舎（リサイクルショップリボン）入口付近,品川区広町2-1-36,35.609181 ,139.730167 
品川区清掃事務所,事務所入口,品川区大崎1-14-1,35.618345 ,139.733502 
芳水小学校,南西側　駐輪場,品川区大崎3-12-22,35.618570 ,139.724154 
伊藤小学校,体育館前,品川区西大井5-6-8,35.598691 ,139.717367 
源氏前小学校,正門,品川区中延6-2-18,35.603165 ,139.712064 
小山台小学校,正門,品川区小山台1-18-24,35.622760 ,139.703466 
