名称（所在地）,"定期利用
自転車","定期利用
バイク","当日利用
自転車","当日利用
バイク",緯度,経度
大崎駅東口（大崎1丁目4番先）,128,58,97,44,35.619851 ,139.728189 
大崎駅西口（大崎2丁目1番先）,531,－,370,－,35.619851 ,139.728189 
大崎駅西口第2（大崎3丁目5・6番先）,－,121,－,－,35.619851 ,139.728189 
大井町駅東口（東大井5丁目20番先他、東大井6丁目1番先）,541,65,227,－,35.607615 ,139.734659 
大井町駅西口（大井1丁目7番9号）,358,5,150,62,35.607615 ,139.734659 
大井町駅西口第2（大井4丁目3・4番先）,315,21,167,－,35.607615 ,139.734659 
戸越公園駅第1（戸越5丁目10番先）,－,－,106,－,35.608913 ,139.718384 
戸越公園駅第2（戸越6丁目6番先）,－,－,15,－,35.608913 ,139.718384 
地下鉄戸越駅第1（平塚1丁目6番先）,63,1,－,－,35.614525 ,139.716332 
地下鉄中延駅第2（中延4丁目7番先）,12,－,62,3,35.605818 ,139.712755 
地下鉄中延駅第3（豊町6丁目24番先）,58,12,－,－,35.605818 ,139.712755 
新馬場駅（南品川2丁目9番先）,38,39,19,9,35.616516 ,139.741467 
旗の台駅第1（旗の台2丁目6番先）,110,8,－,－,35.604882 ,139.702721 
旗の台駅第2（旗の台2丁目7番先）,－,－,62,2,35.604882 ,139.702721 
五反田駅（東五反田5丁目27番先、西五反田2丁目2番先他）,216,48,187,33,35.626159 ,139.723602 
大井競馬場前駅（勝島1丁目4・5番先）,370,10,41,9,35.595648 ,139.746942 
下神明駅（二葉1丁目1番先）,－,－,141,－,35.608709 ,139.726454 
戸越銀座駅（平塚1丁目5番1号）,47,－,46,2,35.615975 ,139.715026 
天王洲アイル駅第1（東品川2丁目5番先）,212,－,55,－,35.620441 ,139.750802 
天王洲アイル駅第2（東品川2丁目4番先）,－,100,－,－,35.620441 ,139.750802 
品川シーサイド駅（東品川4丁目12番先）,364,20,121,－,35.609715 ,139.749688 
大森駅水神口（南大井6丁目15番・18番・23番先）,777,26,434,－,35.588447 ,139.727868 
西大井駅（二葉2丁目26番6号）,359,4,177,－,35.601764 ,139.721893 
荏原町駅（中延5丁目1番1号）,162,4,70,－,35.603863 ,139.707503 
青物横丁駅（南品川2丁目4番先）,162,－,168,－,35.609279 ,139.742984 
立会川駅（南大井1丁目3番1号）,151,66,119,7,35.598470 ,139.738938 
