消火器番号,設置場所,目標,種別,形式,製造年月,機能年月,格納箱年月,町会,町会名,管轄,緯度,経度
０６Ｋ－０２７,南大井３－３４－４,サンテミリオン大森,機械泡,壁,2006.09,2006.09,2006.09,80,大井海岸町会,大井第一,35.5875063,139.7335750
０２Ｋ－００７,西大井４－２１－６,アルス山王金子山,機械泡,脚,2002.03,2007.02,2002.03,107,西大井四丁目町会,大井第三,35.5940805,139.7203208
０２Ｋ－０１３,西大井４－２１－１０,ブランレーヴ大森蘇峰公園,機械泡,脚,2002.04,2002.04,2002.04,107,西大井四丁目町会,大井第三,35.5935440,139.7204241
９６Ｋ－０４３,西大井４－１９－９,ナイスステージ西大井,機械泡,,97.02,2001.01,97.02,107,西大井四丁目町会,大井第三,35.5941125,139.7191878
０１Ｋ－０２１,南大井３－７－１６,シンシア大森,機械泡,脚,2001.08,2007.02,2001.08,79,鈴ケ森町会,大井第一,35.5916519,139.7338235
０１Ｋ－０４１,大井６－２１－１,イオシスガーデン,機械泡,脚,2001.11,2007.02,2002.01,103,大井鹿島町会,大井第三,35.5926416,139.7295548
０１Ｋ－０６１,南大井６－２１－１２,近鉄大森ビル,機械泡,脚,2002.02,2007.02,2002.02,81,大井坂下町会,大井第一,35.5895912,139.7321137
０２Ｋ－００１,南大井６－６－１２,ロイヤルシャトー大森,機械泡,直,2002.03,2007.02,2002.03,82,大井水神町会,大井第一,35.5923453,139.7318184
０２Ｋ－００９,南大井３－２８－１１,東急ドエル　グラフィオ大森,機械泡,壁,2002.03,2007.02,2002.03,80,大井海岸町会,大井第一,35.5880698,139.7326859
０２Ｋ－０４７,南大井５－２７,小田マンション,機械泡,脚,2002.11,2002.11,2002.11,82,大井水神町会,大井第一,35.5931672,139.7333495
０４Ｋ－０１５,南大井３－２４－１０,シティオ大森,機械泡,壁,2006.03,2006.03,2004.05,80,大井海岸町会,大井第一,35.5888839,139.7333997
０４Ｋ－０６０,南大井６－２０－１６,ヴァルトパーク,機械泡,脚,2005.02,,,81,大井坂下町会,大井第一,35.5900612,139.7317259
０４Ｋ－０６９,南大井３－８－１６,プロフ南大井,機械泡,脚,2005.03,,,79,鈴ケ森町会,大井第一,35.5912578,139.7337082
０４Ｋ－０７０,南大井３－２９－６,スカイコート大森第６,機械泡,脚,2005.03,,,80,大井海岸町会,大井第一,35.5880753,139.7333848
