消火器番号,設置場所,目標,種別,形式,製造年月,機能年月,格納箱年月,町会,町会名,管轄,緯度,経度
４７Ｂ－４００,西大井４－２３－１２,西大井四丁目防災活動広場,強化液,ウ,2005.08,2005.08,89.11,107,西大井四丁目町会,大井第三,35.5930589,139.7192717
４８Ｂ－１５９,西大井４－２２－２４,松本宅,強化液,ウ,2004.07,2004.07,85.12,107,西大井四丁目町会,大井第三,35.5936052,139.7190593
４８Ｂ－１６０,西大井４－２４－１５,杉原宅,強化液,ウ,2005.08,2005.08,86.02,107,西大井四丁目町会,大井第三,35.5928706,139.7198517
４７Ｂ－１７８,南大井３－２４－１２,山口ビル,強化液,ウ,2003.07,2003.07,89.11,80,大井海岸町会,大井第一,35.5889641,139.7333809
４７Ｂ－１９５,南大井６－８－６,石井宅,強化液,ウ,2005.08,2005.08,93.05,82,大井水神町会,大井第一,35.5920993,139.7334174
４７Ｂ－１９９,南大井５－２４－８,渋谷宅,強化液,ウ,2004.07,2004.07,2003.07,82,大井水神町会,大井第一,35.5939279,139.7329518
４７Ｂ－２０１,南大井６－３－１５,クリーニングワタナベ,強化液,ウ,2004.07,2004.07,94.05,82,大井水神町会,大井第一,35.5923001,139.7326897
４７Ｂ－２０２,南大井６－７－１０,三栄通信工業㈱,強化液,ウ,2003.01,2003.01,2003.01,82,大井水神町会,大井第一,35.5915854,139.7317826
４７Ｂ－２０８,南大井６－１９－１,名古屋エラスチック製砥㈱,強化液,ア,92.06,2007.02,85.12,81,大井坂下町会,大井第一,35.5907067,139.7322098
４７Ｂ－２０９,南大井６－２３－７,坂下公園,強化液,ウ,92.04,2003.03,2002.08,81,大井坂下町会,大井第一,35.5892740,139.7309149
４７Ｂ－２１０,南大井６－２４－１０,芝信用金庫大森駅前支店,強化液,ウ,91.11,2003.03,87.09,81,大井坂下町会,大井第一,35.5886357,139.7299714
４７Ｂ－２１３,南大井６－１７－１,奥野電器ＫＫ,強化液,ウ,2003.07,2003.07,89.04,81,大井坂下町会,大井第一,35.5905566,139.7299374
４７Ｂ－２７８,大井６－１７－１６,佐藤宅,強化液,ウ,2003.07,2003.07,2004.03,103,大井鹿島町会,大井第三,35.5941898,139.7311383
４７Ｂ－３４９,大井７－２９－１６,公園便所,強化液,ウ,94.11,2002.07,2000.06,103,大井鹿島町会,大井第三,35.5941355,139.7291909
４８Ｂ－０６８,大井６－２０－２０,中島宅,強化液,ウ,2005.08,2005.08,89.11,103,大井鹿島町会,大井第三,35.5938664,139.7302270
４８Ｂ－０７３,大井７－３０－８,大田宅,強化液,ウ,2005.08,2005.08,89.11,103,大井鹿島町会,大井第三,35.5929910,139.7293574
４９Ｂ－１８１,南大井３－３５－１３,木曽路店,強化液,ウ,90.04,2003.12,88.07,80,大井海岸町会,大井第一,35.5876682,139.7327995
４９Ｂ－１９８,南大井５－２６－１８,砂金塗装,強化液,ウ,2003.07,2003.07,97.08,82,大井水神町会,大井第一,35.5935582,139.7317875
４９Ｂ－１９９,南大井６－５－１１,梅谷第二マンション,強化液,ウ,2003.07,2003.07,98.07,82,大井水神町会,大井第一,35.5917806,139.7314261
４９Ｂ－２００,南大井６－１３－１５,森谷ゴム工業㈱,強化液,ウ,99,2003.12,95.08,82,大井水神町会,大井第一,35.5920381,139.7306537
４９Ｂ－２０４,南大井６－１１－１０,理容ナカムラ,強化液,ウ,2003.07,2003.07,87.03,82,大井水神町会,大井第一,35.5907167,139.7329547
４９Ｂ－２０６,南大井６－１７－６,西村宅,強化液,ア,90.04,2007.02,95.08,81,大井坂下町会,大井第一,35.5900822,139.7301177
４９Ｂ－２０９,南大井６－１８－２,大森駅前住宅,強化液,ウ,2006.06,2006.06,95.09,81,大井坂下町会,大井第一,35.5896607,139.7313920
４９Ｂ－２１１,南大井６－２７－１,ＳＥＩＹＵ,強化液,ウ,90.04,2002.11,88.07,81,大井坂下町会,大井第一,35.5888296,139.7305186
４９Ｂ－２１３,南大井６－１８－１,大森駅前住宅　１号棟,強化液,ウ,2003.07,2003.07,87.03,81,大井坂下町会,大井第一,35.5909657,139.7307137
８９Ｂ－０３１,南大井６－２２－２,大森ハイム,強化液,ウ,90.03,2001.01,90.03,81,大井坂下町会,大井第一,35.5895376,139.7316999
９０Ｂ－００１,南大井３－１７－１,カネデン,強化液,ウ,90.1,2007.02,90.1,80,大井海岸町会,大井第一,35.5903303,139.7335896
９０Ｂ－００５,南大井３－２７－１１,古越宅,強化液,ウ,90.1,2001.01,93.1,80,大井海岸町会,大井第一,35.5884055,139.7332009
９２Ｂ－０１６,南大井５－２７－１０,ヤマヤ酒店,強化液,ウ,93.03,2003.12,93.03,82,大井水神町会,大井第一,35.5930800,139.7337135
４７Ｂ－１９３,南大井５－２２－１２,駐車場,強化液 撤去2009.8,ウ,2005.08,2005.08,93.09,82,大井水神町会,大井第一,35.5940765,139.7336611
４７Ｂ－１１９,南大井１－１９－５,海運稲荷,強化液,ウ,2005.08,2005.08,87.03,78,大井南浜町会,大井第一,35.5939659,139.7379754
４７Ｂ－１４３,南大井２－４－１,大野学園、めばえ幼稚園,強化液,ウ,2004.07,2004.07,94.09,79,鈴ケ森町会,大井第一,35.5932384,139.7367718
４７Ｂ－１４４,南大井２－５－４,阿部モ－タ－ス,強化液,ウ,2003.07,2003.07,86.03,79,鈴ケ森町会,大井第一,35.5923811,139.7368018
４７Ｂ－１４６,南大井４－１７－３,塩原宅,強化液,ウ,2003.07,2003.07,85.12,79,鈴ケ森町会,大井第一,35.5939591,139.7358091
４７Ｂ－１４７,南大井３－２－６,グラングーラ大森,強化液,ウ,2006.08,2006.08,88.07,79,鈴ケ森町会,大井第一,35.5923768,139.7358933
４７Ｂ－１５８,南大井４－１８－２０,細江宅,強化液,ウ,2004.07,2004.07,86.07,79,鈴ケ森町会,大井第一,35.5936913,139.7350383
４７Ｂ－１５９,南大井４－１９－１７,松良宅,強化液,ア,2004.07,2004.07,94.08,79,鈴ケ森町会,大井第一,35.5930503,139.7341532
４７Ｂ－１６１,南大井３－１２－１２,南大井郵政独身寮,強化液,ウ,2006.08,2006.08,91.04,79,鈴ケ森町会,大井第一,35.5907420,139.7341258
