園名,所在地,測定年月日,"測定結果
(マイクロシーベルト毎時)",,,,,,,,,,,,,,
一本橋保育園,大井2-25-1,平成27年9月11日,0.044～0.105,,,,,,,,,,,,,,
伊藤保育園,西大井6-13-1,平成27年9月4日,0.047～0.061,,,,,,,,,,,,,,
荏原保育園,荏原2-16-18,平成27年9月7日,0.062～0.082,,,,,,,,,,,,,,
荏原西保育園,荏原4-16-11,平成27年9月7日,0.045～0.058,,,,,,,,,,,,,,
"平塚すこやか園
（荏原西第二保育園）",荏原4-5-22,平成27年9月7日,0.040～0.063,,,,,,,,,,,,,,
大井保育園,東大井6-14-16,平成27年9月2日,0.037～0.058,,,,,,,,,,,,,,
大井倉田保育園,大井4-11-8,平成27年9月2日,0.042～0.071,,,,,,,,,,,,,,
大崎保育園,大崎5-2-1,平成27年9月3日,0.049～0.102,,,,,,,,,,,,,,
北品川保育園,北品川2-7-21,平成27年9月2日,0.041～0.073,,,,,,,,,,,,,,
北品川第二保育園,北品川3-7-43,平成27年9月2日,0.053～0.096,,,,,,,,,,,,,,
源氏前保育園,中延4-14-19,平成27年9月7日,0.050～0.067,,,,,,,,,,,,,,
五反田保育園,東五反田2-15-6,平成27年9月3日,0.052～0.082,,,,,,,,,,,,,,
"御殿山すこやか園
（五反田第二保育園）",北品川5-3-1,平成27年9月3日,0.040～0.087,,,,,,,,,,,,,,
小山台保育園,小山台1-3-8,平成27年9月3日,0.044～0.061,,,,,,,,,,,,,,
品川保育園,東大井5-8-12,平成27年9月2日,0.034～0.095,,,,,,,,,,,,,,
清水台保育園,荏原7-8-3,平成27年9月7日,0.045～0.064,,,,,,,,,,,,,,
水神保育園,南大井6-2-15,平成27年9月4日,0.044～0.058,,,,,,,,,,,,,,
"のびっこ園台場
（台場保育園）",東品川1-8-30,平成27年9月2日,0.044～0.075,,,,,,,,,,,,,,
滝王子保育園,大井5-18-1,平成27年9月4日,0.042～0.062,,,,,,,,,,,,,,
中延保育園,西中延1-6-16,平成27年9月7日,0.046～0.067,,,,,,,,,,,,,,
中原保育園,小山1-4-1,平成27年9月3日,0.045～0.060,,,,,,,,,,,,,,
西大井保育園,西大井1-1-1,平成27年9月4日,0.042～0.080,,,,,,,,,,,,,,
西五反田保育園,西五反田3-9-10,平成27年9月3日,0.050～0.074,,,,,,,,,,,,,,
"第一日野すこやか園
（西五反田第二保育園）",西五反田6-5-6,平成27年9月3日,0.051～0.092,,,,,,,,,,,,,,
西品川保育園,西品川3-16-35,平成27年9月11日,0.041～0.063,,,,,,,,,,,,,,
西中延保育園,西中延3-8-5,平成27年9月7日,0.047～0.067,,,,,,,,,,,,,,
旗の台保育園,旗の台5-19-5,平成27年9月7日,0.067～0.113,,,,,,,,,,,,,,
東大井保育園,東大井1-22-16,平成27年9月2日,0.042～0.082,,,,,,,,,,,,,,
東五反田保育園,東五反田5-24-1,平成27年9月3日,0.050～0.062,,,,,,,,,,,,,,
東品川保育園,東品川1-34-9,平成27年9月2日,0.054～0.079,,,,,,,,,,,,,,
東中延保育園,東中延2-5-10,平成27年9月7日,0.046～0.106,,,,,,,,,,,,,,
平塚保育園,平塚2-2-3,平成27年9月3日,0.054～0.074,,,,,,,,,,,,,,
冨士見台保育園,西大井6-1-15,平成27年9月4日,0.039～0.055,,,,,,,,,,,,,,
二葉保育園,二葉1-4-25,平成27年9月11日,0.056～0.087,,,,,,,,,,,,,,
"二葉すこやか園
（二葉つぼみ保育園）",二葉1-3-40,平成27年9月11日,0.045～0.087,,,,,,,,,,,,,,
三ツ木保育園,西品川1-9-18,平成27年9月11日,0.048～0.063,,,,,,,,,,,,,,
南大井保育園,南大井3-7-4,平成27年9月4日,0.054～0.064,,,,,,,,,,,,,,
南ゆたか保育園,豊町4-17-21,平成27年9月11日,0.051～0.060,,,,,,,,,,,,,,
八潮北保育園,八潮5-1-3,平成27年9月2日,0.045～0.084,,,,,,,,,,,,,,
八潮西保育園,八潮5-4-16,平成27年9月2日,0.039～0.074,,,,,,,,,,,,,,
八潮南保育園,八潮5-8-41,平成27年9月2日,0.040～0.110,,,,,,,,,,,,,,
八ツ山保育園(仮園舎),北品川1-16-5,平成27年9月2日,0.049～0.095,,,,,,,,,,,,,,
ゆたか保育園,豊町1-18-15,平成27年9月11日,0.046～0.073,,,,,,,,,,,,,,
伊藤幼稚園,西大井5-22-8,平成27年9月4日,0.052～0.062,,,,,,,,,,,,,,
"御殿山すこやか園
（御殿山幼稚園）",北品川5-3-1,平成27年9月3日,0.040～0.087,,,,,,,,,,,,,,
城南幼稚園,南品川2-8-21,平成27年9月2日,0.039～0.064,,,,,,,,,,,,,,
"第一日野すこやか園
（第一日野幼稚園）",西五反田6-5-6,平成27年9月3日,0.051～0.092,,,,,,,,,,,,,,
"のびっこ園台場
（台場幼稚園）",東品川1-8-30,平成27年9月2日,0.047～0.067,,,,,,,,,,,,,,
浜川幼稚園,南大井4-3-14,平成27年9月4日,0.049～0.089,,,,,,,,,,,,,,
平塚幼稚園,荏原4-5-22,平成27年9月7日,0.040～0.063,,,,,,,,,,,,,,
"二葉すこやか園
（二葉幼稚園）",二葉1-3-40,平成27年9月11日,0.045～0.087,,,,,,,,,,,,,,
八潮わかば幼稚園,八潮5-6-32,平成27年9月2日,0.045～0.065,,,,,,,,,,,,,,
