貸付金の種類,内容
事業開始資金,事業を始めるのに必要な設備費、什器、機械等の購入資金
事業継続資金,現在営んでいる事業を継続するために必要な商品材料等を購入する運転資金
修業資金,児童が事業を開始し又は就職に必要な知識技能を習得させるために要する資金
就職支度資金,就職するために直接必要な被服、履物等の購入資金
住宅資金,現に居住する自己所有の住宅の増改築、補修、保全に必要な資金
転宅資金,転居に必要な敷金等にあてるための資金
医療介護資金,医療又は介護を受けるために必要な資金
技能習得資金,事業を開始し又は就職するために必要な知識技能を習得するために必要な資金
生活資金,医療介護資金、技能習得資金の貸付期間中等、生活を維持するために必要な資金
結婚資金,児童の婚姻に際し必要な資金
修学資金,高校、短大、大学、大学院、高専、又は専修学校に修学させるために必要な資金
就学支度資金,小中学校、高校、短大、高専、専修学校、大学、大学院及び技能習得施設の入学、入所に関する資金
