施設名,所在地,町会・自治会名,区域,緯度,経度
品川学園,北品川3-9-30,"北品川二丁目町会
北品川三丁目親和会","北品川2丁目(一部)
北品川3丁目全域
北品川4丁目(一部)
南品川4丁目(一部)",35.617806 ,139.738675 
御殿山小学校,北品川5-2-6,"袖ケ崎新興会
御殿山町会
小関親睦会","北品川4丁目(一部)
北品川5丁目全域
北品川6丁目全域
東五反田2丁目(一部)
東五反田3丁目(一部)",35.622997 ,139.732415 
台場小学校,東品川1-8-30,"北品川一丁目町会
都営北品川アパート自治会
都営北品川第2アパート自治会
八ツ山町会
天王洲会
都営天王洲団地自治会
東品川一・三町会
都営東品川第4アパート自治会
都営東品川7棟自治会","北品川1丁目全域
北品川2丁目(一部)
東品川1丁目(一部)
東品川2丁目全域
東品川5丁目全域",35.620869 ,139.743667 
城南小学校,南品川2-8-21,"真交町会
博友町会
諏訪町会
明睦会
三睦会町会","南品川1丁目(一部)
南品川2丁目(一部)
南品川3丁目(一部)
南品川4丁目(一部)
南品川5丁目(一部)",35.613153 ,139.742914 
浅間台小学校,南品川6-8-8,"東睦会
南品川南睦会
同友会町会
六丁目睦会","南品川2丁目(一部)
南品川4丁目(一部)
南品川5丁目(一部)
南品川6丁目全域
広町1丁目全域",35.611462 ,139.736584 
城南第二小学校,東品川3-4-5,"△東親会
洌崎町会
櫻心会町会","北品川2丁目(一部)
東品川1丁目(一部)
東品川3丁目(一部)
南品川1丁目(一部)
南品川2丁目(一部)",35.615644 ,139.746083 
東海中学校,東品川3-30-15,"東品川第一自治会
都営東品川第3アパート自治会
△東親会
自治八潮会","東品川3丁目(一部)
東品川4丁目全域",35.612465 ,139.748661 
,,,,,
