,月,火,水,木,金,土,日,祝
午前（9時～正午）,貸切,貸切,個人,個人,貸切,貸切,貸切,貸切
午後（1時～5時）,貸切,個人,貸切,貸切,貸切,個人,貸切,貸切
夜間（5時30分～9時）,個人,貸切,貸切,貸切,個人,貸切,－,－
