車種区分,電気自動車等,燃料基準1達成車,燃料基準2達成車
三輪,"1,000円","2,000円","3,000円"
"四輪以上
（乗用・自家用）","2,700円","5,400円","8,100円"
"四輪以上
（乗用・営業用）","1,800円","3,500円","5,200円"
"四輪以上
（貨物・自家用）","1,300円","2,500円","3,800円"
"四輪以上
（貨物・営業用）","1,000円","1,900円","2,900円"
