車種,区分,税率
原動機付自転車,第一種　50cc　以下,"2,000円"
原動機付自転車,第二種乙　50cc超～90cc以下,"2,000円"
原動機付自転車,第二種甲　90cc超～125cc以下,"2,400円"
原動機付自転車,"ミニカー　20cc超～50cc以下
 三輪以上＋輪距50センチ超","3,700円"
小型特殊自動車,農耕作業用（トラクタなど）,"2,400円"
小型特殊自動車,その他（フォークリフトなど）,"5,900円"
雪上走行車,－,"3,600円"
"二輪の軽自動車
125cc超250cc以下のもの",自家用、営業用,"3,600円"
"二輪小型自動車
250cc超",自家用、営業用,"6,000円"
