学校名,所在地,測定年月日,"測定結果
（マイクロシーベルト毎時）",,,,,,,,,,,,,,
城南小学校,南品川2-8-21,平成28年5月12日,0.03～0.06,,,,,,,,,,,,,,
浅間台小学校,南品川6-8-8,平成28年5月12日,0.06～0.08,,,,,,,,,,,,,,
三木小学校,西品川3-16-28,平成28年5月12日,0.03～0.06,,,,,,,,,,,,,,
御殿山小学校,北品川5-2-6,平成28年5月12日,0.03～0.10,,,,,,,,,,,,,,
城南第二小学校,東品川3-4-5,平成28年5月12日,0.05～0.08,,,,,,,,,,,,,,
第一日野小学校,西五反田6-5-32,平成28年5月12日,0.05～0.06,,,,,,,,,,,,,,
芳水小学校,大崎3-12-22,平成28年5月12日,0.05～0.07,,,,,,,,,,,,,,
第三日野小学校,上大崎1-19-19,平成28年5月12日,0.04～0.05,,,,,,,,,,,,,,
第四日野小学校,西五反田4-29-9,平成28年5月12日,0.05～0.08,,,,,,,,,,,,,,
大井第一小学校,大井6-1-32,平成28年5月12日,0.03～0.07,,,,,,,,,,,,,,
鮫浜小学校,東大井2-10-14,平成28年5月13日,0.04～0.06,,,,,,,,,,,,,,
山中小学校,大井3-7-19,平成28年5月12日,0.03～0.08,,,,,,,,,,,,,,
立会小学校,東大井4-15-9,平成28年5月10日,0.04～0.05,,,,,,,,,,,,,,
浜川小学校,南大井4-3-27,平成28年5月18日,0.05～0.08,,,,,,,,,,,,,,
伊藤小学校,西大井5-6-8,平成28年5月13日,0.04～0.09,,,,,,,,,,,,,,
鈴ヶ森小学校,南大井4-16-2,平成28年5月13日,0.04～0.07,,,,,,,,,,,,,,
台場小学校,東品川1-8-30,平成28年5月12日,0.04～0.06,,,,,,,,,,,,,,
京陽小学校,平塚2-19-20,平成28年5月12日,0.06～0.10,,,,,,,,,,,,,,
延山小学校,西中延2-17-5,平成28年5月13日,0.06～0.08,,,,,,,,,,,,,,
中延小学校,中延1-11-15,平成28年5月13日,0.06～0.09,,,,,,,,,,,,,,
小山小学校,小山5-10-6,平成28年5月13日,0.05～0.07,,,,,,,,,,,,,,
大原小学校,戸越6-17-3,平成28年5月18日,0.05～0.07,,,,,,,,,,,,,,
宮前小学校,戸越4-5-10,平成28年5月18日,0.05～0.08,,,,,,,,,,,,,,
源氏前小学校,中延6-2-18,平成28年5月18日,0.06～0.08,,,,,,,,,,,,,,
第二延山小学校,旗の台1-6-1,平成28年5月12日,0.04～0.08,,,,,,,,,,,,,,
後地小学校,小山2-4-6,平成28年5月13日,0.05～0.07,,,,,,,,,,,,,,
戸越小学校,豊町2-1-20,平成28年5月18日,0.05～0.07,,,,,,,,,,,,,,
旗台小学校,旗の台4-7-11,平成28年5月18日,0.04～0.07,,,,,,,,,,,,,,
上神明小学校,二葉4-4-10,平成28年5月18日,0.05～0.08,,,,,,,,,,,,,,
清水台小学校,旗の台1-11-17,平成28年5月12日,0.04～0.07,,,,,,,,,,,,,,
小山台小学校,小山台1-18-24,平成28年5月12日,0.06～0.10,,,,,,,,,,,,,,
東海中学校,東品川3-30-15,平成28年5月12日,0.06～0.09,,,,,,,,,,,,,,
大崎中学校,西品川3-10-6,平成28年5月18日,0.04～0.07,,,,,,,,,,,,,,
浜川中学校,東大井3-18-34,平成28年5月10日,0.04～0.06,,,,,,,,,,,,,,
鈴ヶ森中学校,南大井2-3-14,平成28年5月13日,0.05～0.07,,,,,,,,,,,,,,
冨士見台中学校,西大井5-5-14,平成28年5月12日,0.06～0.08,,,,,,,,,,,,,,
荏原第一中学校,荏原1-24-30,平成28年5月12日,0.05～0.10,,,,,,,,,,,,,,
荏原第五中学校,旗の台5-11-13,平成28年5月18日,0.04～0.06,,,,,,,,,,,,,,
荏原第六中学校,小山5-20-19,平成28年5月12日,0.05～0.07,,,,,,,,,,,,,,
戸越台中学校,戸越1-15-23,平成28年5月18日,0.03～0.04,,,,,,,,,,,,,,
日野学園,東五反田2-11-1,平成28年5月12日,0.03～0.05,,,,,,,,,,,,,,
伊藤学園,大井5-1-37,平成28年5月12日,0.04～0.06,,,,,,,,,,,,,,
八潮学園,八潮5-11-2,平成28年5月16日,0.03～0.08,,,,,,,,,,,,,,
荏原平塚学園,平塚3-16-26,平成28年5月12日,0.07～0.09,,,,,,,,,,,,,,
品川学園,北品川3-9-30,平成28年5月12日,0.05～0.07,,,,,,,,,,,,,,
豊葉の杜学園,二葉1-3-40,平成28年5月18日,0.03～0.07,,,,,,,,,,,,,,
