,地区内残留地区,町丁目
305 ,五反田地区,大崎1、5丁目、4丁目の一部、西五反田1～2、7～8丁目、3～6丁目の各一部、東五反田2、5丁目、1丁目の一部、北品川5丁目の一部
311 ,港南、東品川地区,東品川5丁目
313 ,青梅、東八潮、台場地区,東八潮
322 ,八潮、東海、城南島地区,八潮1～5丁目、東品川2～4丁目
331 ,勝島地区,勝島1～3丁目
