施設の用途,施設の規模,自転車駐車場の規模,店舗等の面積に含まれる床面積の範囲
百貨店、スーパーマーケットその他の小売店,店舗面積が300平方メートルを超えるもの,店舗面積20平方メートルごとに1台（1台に満たない端数は切り捨てる。）,売り場（待合室を含む。）、売場間の通路、ショーウィンドー、ショールーム、サービス部門、承り所、物品の加工修理場その他これらに類するもの
飲食店,店舗面積が300平方メートルを超えるもの,店舗面積30平方メートルごとに1台（1台に満たない端数は切り捨てる。）,客席その他これに類するもの
パチンコ店、映画館、カラオケボックスその他これらに類するもの,店舗面積が200平方メートルを超えるもの,店舗面積15平方メートルごとに1台（1台に満たない端数は切り捨てる。）,遊戯室、景品交換所、観客席、個室、待合室その他これらに類するもの
レンタルビデオ店その他これに類するもの,店舗面積が300平方メートルを超えるもの,店舗面積20平方メートルごとに1台（1台に満たない端数は切り捨てる。）,商品陳列場所、商品陳列場所間の通路、入会手続場所、会計場所その他これらに類するもの
銀行その他の金融機関,店舗面積が300平方メートルを超えるもの,店舗面積25平方メートルごとに1台（1台に満たない端数は切り捨てる。）,銀行室、待合室、ショーウィンドーその他これらに類するもの
病院、診療所その他これらに類するもの,診療施設面積が300平方メートルを超えるもの,診療施設面積25平方メートルごとに1台（1台に満たない端数は切り捨てる。）,待合室、診療施設、検査施設、会計場所その他これらに類するもの
スポーツ、体育その他の健康の増進を目的とする施設,運動場面積が500平方メートルを超えるもの,運動場面積50平方メートルごとに1台（1台に満たない端数は切り捨てる。）,競技場、運動場、練習場、更衣室、観覧席その他これらに類するもの
学習、教育、趣味等の教授を目的とする施設,教室面積が300平方メートルを超えるもの,教室面積15平方メートルごとに1台（1台に満たない端数は切り捨てる。）,教室、講堂、実習室、図書室その他これらに類するもの
