調査日,調査時間,本庁舎・議会棟2階都税事務所・EVホール側,本庁舎・議会棟3階総合案内・EVホール側,本庁舎・議会棟3階議会棟・戸籍住民課側,本庁舎・議会棟3階会計管理室側,第二庁舎1階駐車場→EVホール,第二庁舎3階本庁舎連絡通路横,第三庁舎2階,第三庁舎3階,合計
2021年10月25日（月）,8：00-9：00,76,53,13,53,13,22,3,11,244
2021年10月25日（月）,9：00-10：00,103,102,23,124,57,50,4,17,480
2021年10月25日（月）,10：00-11：00,146,145,20,104,32,86,4,17,554
2021年10月25日（月）,11：00-12：00,88,162,31,95,78,94,7,20,575
2021年10月25日（月）,12：00-13：00,224,149,35,121,49,83,17,33,711
2021年10月25日（月）,13：00-14：00,171,192,34,114,74,123,35,41,784
2021年10月25日（月）,14：00-15：00,109,157,15,103,81,47,9,16,537
2021年10月25日（月）,15：00-16：00,75,144,18,80,60,35,10,11,433
2021年10月25日（月）,16：00-17：00,83,88,25,55,47,23,1,8,330
2021年10月26日（火）,8：00-9：00,81,42,6,48,19,18,14,9,237
2021年10月26日（火）,9：00-10：00,97,124,9,80,44,65,7,13,439
2021年10月26日（火）,10：00-11：00,108,125,27,100,53,132,15,9,569
2021年10月26日（火）,11：00-12：00,104,139,25,86,74,68,10,7,513
2021年10月26日（火）,12：00-13：00,231,108,34,111,47,72,24,28,655
2021年10月26日（火）,13：00-14：00,136,166,19,93,64,96,24,23,621
2021年10月26日（火）,14：00-15：00,81,157,29,93,65,56,21,32,534
2021年10月26日（火）,15：00-16：00,63,140,16,80,60,25,17,36,437
2021年10月26日（火）,16：00-17：00,39,121,7,76,40,68,5,7,363
2021年10月27日（水）,8：00-9：00,77,28,8,42,10,17,7,0,189
2021年10月27日（水）,9：00-10：00,140,118,14,82,46,62,11,3,476
2021年10月27日（水）,10：00-11：00,129,172,8,81,60,67,3,9,529
2021年10月27日（水）,11：00-12：00,141,118,9,98,49,52,11,14,492
2021年10月27日（水）,12：00-13：00,229,97,14,86,47,60,11,15,559
2021年10月27日（水）,13：00-14：00,126,160,19,103,39,46,22,21,536
2021年10月27日（水）,14：00-15：00,102,147,22,90,74,50,6,19,510
2021年10月27日（水）,15：00-16：00,94,129,21,66,61,52,2,6,431
2021年10月27日（水）,16：00-17：00,48,128,5,80,20,41,4,11,337
2021年10月28日（木）,8：00-9：00,98,37,9,46,8,29,1,6,234
2021年10月28日（木）,9：00-10：00,140,115,20,81,54,82,6,11,509
2021年10月28日（木）,10：00-11：00,91,127,21,110,53,101,5,5,513
2021年10月28日（木）,11：00-12：00,100,118,22,105,59,87,1,9,501
2021年10月28日（木）,12：00-13：00,199,130,17,110,58,70,7,17,608
2021年10月28日（木）,13：00-14：00,128,141,10,108,70,81,35,36,609
2021年10月28日（木）,14：00-15：00,116,134,13,93,62,55,2,13,488
2021年10月28日（木）,15：00-16：00,97,123,14,57,68,68,1,9,437
2021年10月28日（木）,16：00-17：00,79,145,12,52,31,47,5,6,377
2021年10月29日（金）,8：00-9：00,86,32,5,49,11,17,4,2,206
2021年10月29日（金）,9：00-10：00,114,128,19,99,50,74,6,10,500
2021年10月29日（金）,10：00-11：00,104,139,11,103,67,88,9,5,526
2021年10月29日（金）,11：00-12：00,110,130,17,84,64,79,7,8,499
2021年10月29日（金）,12：00-13：00,159,154,9,99,41,81,12,36,591
2021年10月29日（金）,13：00-14：00,141,146,13,76,48,67,19,17,527
2021年10月29日（金）,14：00-15：00,124,151,18,102,49,76,8,6,534
2021年10月29日（金）,15：00-16：00,105,170,21,68,50,86,4,22,526
2021年10月29日（金）,16：00-17：00,54,108,11,87,33,95,6,7,401
