施設名,電話番号,所在地,面数,サッカー優先期間 ,付帯設備,開設期間,休場日,緯度,経度
"天王洲公園
（全面人工芝）",03-3471-4573,東品川2-6-23,"1（サッカー）
1（ミニサッカー）","なし（ミニサッカー）
あり（サッカー）
【12～2月のみ】",更衣室、トイレ、水飲み、シャワー室、自動販売機、有料駐車場、有料ミーティングルーム、ゴール,"通年開設
1月4日～12月28日","年末年始
※施設の管理上、整備日を設けることがあります",35.619420 ,139.750175 
"品川南ふ頭公園
（全面人工芝）",03-3471-5953,東品川5-8-4,"1（ミニサッカー）
※コート内に1・2塁のアンツーカー部分があります。",なし,更衣室、トイレ、水飲み、シャワー室、自動販売機、有料駐車場、ゴール,"通年開設
1月4日～12月28日","年末年始
※施設の管理上、整備日を設けることがあります",35.622016 ,139.754257 
"八潮北公園
（全面人工芝）",03-3790-2550,八潮1-3-1,"1（ミニサッカー）
1 （フットサル場兼庭球場）","なし（ミニサッカー）
あり（フットサル場兼庭球場）",更衣室、トイレ、水飲み、シャワー室、自動販売機、有料駐車場、ゴール,"通年開設
1月4日～12月28日","年末年始
※施設の管理上、整備日を設けることがあります",35.612514 ,139.753782 
"鮫洲運動公園
（全面人工芝）",03-5462-8160,東大井1-4-11,"1（ミニサッカー）
※コート内に2塁のアンツーカー部分があります。",なし,トイレ、水飲み、自動販売機、ゴール,"通年開設
1月4日～12月28日","年末年始
※施設の管理上、整備日を設けることがあります",35.605886 ,139.744570 
