,避難場所名,町丁目
12 ,高輪三丁目・四丁目・御殿山地区,北品川6丁目、4～5丁目の各一部、東五反田1、3丁目の各一部
13 ,自然教育園・聖心女子学院一帯,上大崎1～4丁目、西五反田3丁目の一部、東五反田4丁目、1、3丁目の各一部
37 ,品川区役所一帯,大井1丁目、西品川1丁目の一部、広町2丁目、二葉1丁目
38 ,大井ふ頭一帯,北品川2丁目の一部、広町1丁目、南品川1～3、5～6丁目、4丁目の一部
43 ,東京工業大学,荏原7丁目、6丁目の一部、旗の台1～6丁目、小山6～7丁目、西中延2～3丁目、中延3丁目、2、4～5丁目の各一部
156 ,林試の森公園,荏原1～5丁目、6丁目の各一部、小山1～5丁目、小山台1～2丁目、戸越5丁目の一部、中延1丁目、2丁目の一部、西中延1丁目、西五反田4～6丁目の各一部、東中延1丁目、平塚1～3丁目
157 ,戸越公園一帯,戸越2、4丁目、3、5丁目の各一部、西品川2丁目、1丁目の一部、豊町1～3丁目
174 ,天王洲アイル周辺,東品川1丁目、南品川4丁目の一部、北品川1、3丁目、2、4丁目の各一部
218 ,大崎駅西口地区一帯,大崎2～3丁目、4丁目の一部、戸越1丁目、3丁目の一部、西品川3丁目
