"場所","年度","化学的酸素要求量(COD)[μg/l]]","溶存酸素量(DO)[μg/l]"
"区立お台場レインボー公園前先海域","2014","8.0","10.6"
"区立お台場レインボー公園前先海域","2015","5.6","12.0"
"区立お台場レインボー公園前先海域","2016","4.7","13.2"
"区立お台場レインボー公園前先海域","2017","5.8","10.3"
"台場駅前先海域","2014","4.5","9.6"
"台場駅前先海域","2015","5.0","10.4"
"台場駅前先海域","2016","4.7","13.3"
"台場駅前先海域","2017","5.4","9.6"
"お台場学園前水際","2014","7.6",
"お台場学園前水際","2015","5.0",
"お台場学園前水際","2016","5.8",
"お台場学園前水際","2017","8.4",
"都営台場一丁目アパート１号棟前水際","2014","7.3",
"都営台場一丁目アパート１号棟前水際","2015","5.6",
"都営台場一丁目アパート１号棟前水際","2016","5.8",
"都営台場一丁目アパート１号棟前水際","2017","7.1",
"区立台場保育園前水際","2014","7.1",
"区立台場保育園前水際","2015","5.7",
"区立台場保育園前水際","2016","5.7",
"区立台場保育園前水際","2017","8.1",

"平成30年度港区行政資料集　水質汚濁　お台場海浜公園","Ver201803",,
