 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"2,092","16,001,396","14,138","105,064,132",719,"13,557,182","4,788","88,482,317"
外航計,466,"11,998,742","3,182","78,243,055",438,"11,520,351","2,967","74,677,838"
外航定期計,438,"11,520,351","2,971","74,757,421",438,"11,520,351","2,967","74,677,838"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),49,"3,184,869",334,"21,013,476",49,"3,184,869",334,"21,013,476"
北米東岸(カリビア海含む),10,"775,548",62,"4,824,082",10,"775,548",62,"4,824,082"
北欧・地中海,4,"392,274",33,"3,251,318",4,"392,274",33,"3,251,318"
南米西岸,6,"701,659",29,"2,442,251",6,"701,659",29,"2,442,251"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,13,"445,321",76,"2,310,082",13,"445,321",76,"2,310,082"
印パ･ペルシャ･ベンガル,-,-,16,"785,499",-,-,16,"785,499"
東南アジア,159,"3,864,224",976,"23,671,320",159,"3,864,224",973,"23,643,654"
台湾,-,-,-,-,-,-,-,-
韓国,47,"430,903",323,"2,936,759",47,"430,903",323,"2,936,759"
中国(香港含む),150,"1,725,553","1,122","13,522,634",150,"1,725,553","1,121","13,470,717"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,28,"478,391",211,"3,485,634",-,-,-,-
内航計,"1,626","4,002,654","10,956","26,821,077",281,"2,036,831","1,821","13,804,479"
内航定期計,586,"2,705,850","3,657","18,256,532",253,"1,963,817","1,720","13,443,615"
北海道,94,"1,099,292",684,"7,609,803",94,"1,099,292",684,"7,609,803"
東北,58,"41,942",355,"255,699",54,"38,946",325,"233,229"
関東,111,"31,407",656,"281,269",-,-,-,-
伊豆諸島,188,"328,550","1,048","1,979,731",-,-,-,-
中部,21,"22,649",147,"187,953",21,"22,649",144,"185,706"
近畿,9,"6,741",58,"43,442",9,"6,741",58,"43,442"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,81,"922,334",542,"6,134,703",51,"543,254",342,"3,607,503"
沖縄,24,"252,935",167,"1,763,932",24,"252,935",167,"1,763,932"
内航不定期,"1,040","1,296,804","7,299","8,564,545",28,"73,014",101,"360,864"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
