 2-(5)カーフェリー輸送状況,,,,,,（単位：隻、総トン、トン、台、人）,
,,,合計,,九州,,
,,,当月,1月以降累計,当月,1月以降累計,
入港船舶,隻数,,30,200,30,200,
,総トン数,,"379,080","2,527,200","379,080","2,527,200",
取扱貨物,計,計,"948,285","6,274,265","948,285","6,274,265",
,,出荷,"477,365","3,283,560","477,365","3,283,560",
,,入荷,"470,920","2,990,705","470,920","2,990,705",
取　扱　台　数,バ　ス,計,11,94,11,94,
,,出荷,5,50,5,50,
,,入荷,6,44,6,44,
,トラック,計,"8,574","56,477","8,574","56,477",
,,出荷,"4,321","29,811","4,321","29,811",
,,入荷,"4,253","26,666","4,253","26,666",
,乗用車,計,"4,016","36,568","4,016","36,568",
,,出荷,"2,430","21,896","2,430","21,896",
,,入荷,"1,586","14,672","1,586","14,672",
乗降人員,計,,"1,899","18,630","1,899","18,630",
,乗船,,901,"9,391",901,"9,391",
,降船,,998,"9,239",998,"9,239",
,,,,,,,
（注）カーフェリー（自動車航送船）による貨物量は車両区分別に台数を調整し,,,,,,,
　　　所定の換算トンをかけて算出しています。,,,,,,,
