 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"303,935","109,285","2,125,660","790,306","92,701","105,650","654,570","770,005","211,234","3,635","1,471,090","20,301"
,97.6%,97.3%,100.3%,104.5%,93.4%,96.8%,97.6%,104.7%,99.5%,114.2%,101.5%,98.3%
外航計,"281,543","87,235","1,958,524","637,695","81,184","85,375","562,235","630,340","200,359","1,860","1,396,289","7,355"
,98.6%,96.3%,100.1%,104.7%,95.8%,95.4%,96.9%,105.0%,99.8%,161.3%,101.5%,82.8%
外航定期計,"281,543","87,235","1,958,524","637,695","81,184","85,375","562,235","630,340","200,359","1,860","1,396,289","7,355"
,98.6%,96.3%,100.1%,104.7%,95.8%,95.4%,96.9%,105.0%,99.8%,161.3%,101.5%,82.8%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"37,709","12,087","275,199","99,969","12,803","11,911","98,374","98,356","24,906",176,"176,825","1,613"
,86.7%,79.8%,96.3%,105.2%,72.4%,80.5%,87.5%,107.6%,96.4%,50.7%,102.0%,44.2%
北米東岸(カリビア海含む),"11,105","2,369","78,693","15,419","4,000","2,345","32,947","15,168","7,105",24,"45,746",251
,92.7%,156.7%,94.3%,104.9%,66.5%,155.7%,77.6%,103.5%,119.1%,400.0%,111.6%,545.7%
北欧・地中海,"16,723",256,"126,950","14,451","7,435",244,"57,686","14,181","9,288",12,"69,264",270
,109.5%,26.1%,107.5%,90.2%,107.8%,26.0%,111.3%,89.7%,110.9%,28.6%,104.5%,138.5%
南米西岸,"3,432","2,988","25,805","6,896",178,"2,014",734,"5,706","3,254",974,"25,071","1,190"
,63.9%,396.8%,87.8%,97.5%,114.8%,269.3%,74.2%,84.2%,62.3%,19480.0%,88.3%,399.3%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
