 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"7,682,554 ","52,936,015 ","4,159,236 ","1,121,348 ","3,037,888 ","28,535,874 ","7,661,144 ","20,874,730 ","3,523,318 ","1,311,671 ","2,211,647 ","24,400,141 ","9,353,727 ","15,046,414 "
公共計,"3,570,709 ","24,595,561 ","1,225,041 ","252,624 ","972,417 ","8,203,589 ","1,603,142 ","6,600,447 ","2,345,668 ","1,199,858 ","1,145,810 ","16,391,972 ","8,443,342 ","7,948,630 "
ドルフィン,"6,664 ","38,768 ",-,-,-,-,-,-,"6,664 ","6,664 ",-,"38,768 ","38,768 ",-
芝浦ふ頭,"53,730 ","467,704 ",-,-,-,-,-,-,"53,730 ","1,876 ","51,854 ","467,704 ","12,320 ","455,384 "
芝浦物揚場,"7,011 ","54,864 ",-,-,-,-,-,-,"7,011 ","4,678 ","2,333 ","54,864 ","36,956 ","17,908 "
日の出ふ頭,"3,155 ","22,065 ",-,-,-,-,-,-,"3,155 ",610 ,"2,545 ","22,065 ",610 ,"21,455 "
竹芝ふ頭,"8,242 ","46,064 ",-,-,-,-,-,-,"8,242 ","5,562 ","2,680 ","46,064 ","30,267 ","15,797 "
品川岸壁,"647,612 ","4,606,277 ","371,440 ","94,321 ","277,119 ","2,527,018 ","584,563 ","1,942,455 ","276,172 ","166,848 ","109,324 ","2,079,259 ","1,245,974 ","833,285 "
 品川コンテナ,"358,655 ","2,465,450 ","358,655 ","91,013 ","267,642 ","2,465,443 ","574,364 ","1,891,079 ",-,-,-,7 ,7 ,-
 品川外貿,"12,785 ","61,575 ","12,785 ","3,308 ","9,477 ","61,575 ","10,199 ","51,376 ",-,-,-,-,-,-
 品川内貿,"276,172 ","2,079,252 ",-,-,-,-,-,-,"276,172 ","166,848 ","109,324 ","2,079,252 ","1,245,967 ","833,285 "
月島ふ頭,"1,814 ","10,658 ",-,-,-,-,-,-,"1,814 ",730 ,"1,084 ","10,658 ","4,602 ","6,056 "
10号西岸壁,"546,861 ","3,701,703 ",-,-,-,-,-,-,"546,861 ","320,471 ","226,390 ","3,701,703 ","2,156,367 ","1,545,336 "
10号東岸壁,"28,365 ","218,203 ",-,-,-,-,-,-,"28,365 ",250 ,"28,115 ","218,203 ",917 ,"217,286 "
東京港フェリーふ頭,"948,285 ","6,274,265 ",-,-,-,-,-,-,"948,285 ","477,365 ","470,920 ","6,274,265 ","3,283,560 ","2,990,705 "
辰巳ふ頭,"34,048 ","217,105 ",-,-,-,-,-,-,"34,048 ","12,794 ","21,254 ","217,105 ","87,648 ","129,457 "
青海コンテナふ頭（公共）,"810,188 ","5,340,372 ","798,544 ","158,303 ","640,241 ","5,242,778 ","1,017,561 ","4,225,217 ","11,644 ","5,671 ","5,973 ","97,594 ","65,132 ","32,462 "
大井水産物ふ頭,-,"1,221 ",-,-,-,"1,018 ","1,018 ",-,-,-,-,203 ,60 ,143 
大井食品ふ頭（OL）,"34,164 ","203,307 ","32,115 ",-,"32,115 ","173,603 ",-,"173,603 ","2,049 ",-,"2,049 ","29,704 ",-,"29,704 "
大井食品ふ頭（OM）,"9,606 ","73,469 ","9,606 ",-,"9,606 ","73,469 ",-,"73,469 ",-,-,-,-,-,-
大井食品ふ頭（ON）,"3,172 ","8,472 ","3,172 ",-,"3,172 ","8,472 ",-,"8,472 ",-,-,-,-,-,-
若洲内貿ふ頭,"49,218 ","385,604 ",-,-,-,-,-,-,"49,218 ","38,076 ","11,142 ","385,604 ","277,564 ","108,040 "
15号地木材ふ頭,"11,166 ","68,279 ","10,164 ",-,"10,164 ","64,601 ",-,"64,601 ","1,002 ","1,002 ",-,"3,678 ","3,678 ",-
若洲建材ふ頭,"28,215 ","366,409 ",-,-,-,-,-,-,"28,215 ",-,"28,215 ","366,409 ","18,141 ","348,268 "
大井建材ふ頭,"136,665 ","897,987 ",-,-,-,-,-,-,"136,665 ",-,"136,665 ","897,987 ","1,800 ","896,187 "
城南島建設発生土ふ頭,"81,600 ","710,100 ",-,-,-,-,-,-,"81,600 ","81,600 ",-,"710,100 ","710,100 ",-
中央防波堤内側ばら物ふ頭,"2,413 ","139,251 ",-,-,-,"112,630 ",-,"112,630 ","2,413 ",-,"2,413 ","26,621 ","5,658 ","20,963 "
中央防波堤内側建設発生土ふ頭,"31,212 ","170,204 ",-,-,-,-,-,-,"31,212 ","31,212 ",-,"170,204 ","170,204 ",-
中央防波堤内側内貿ふ頭,"87,303 ","571,460 ",-,-,-,-,-,-,"87,303 ","44,449 ","42,854 ","571,460 ","293,016 ","278,444 "
その他,-,"1,750 ",-,-,-,-,-,-,-,-,-,"1,750 ",-,"1,750 "
東京港埠頭㈱計,"2,811,255 ","19,899,746 ","2,698,377 ","802,477 ","1,895,900 ","18,914,640 ","5,790,732 ","13,123,908 ","112,878 ","49,955 ","62,923 ","985,106 ","514,017 ","471,089 "
青海コンテナふ頭(埠頭㈱),"601,845 ","4,195,524 ","591,395 ","127,412 ","463,983 ","4,130,259 ","902,608 ","3,227,651 ","10,450 ","9,400 ","1,050 ","65,265 ","61,193 ","4,072 "
お台場ライナーふ頭,"55,584 ","519,923 ","38,714 ","31,355 ","7,359 ","415,249 ","285,662 ","129,587 ","16,870 ",515 ,"16,355 ","104,674 ","10,852 ","93,822 "
大井コンテナふ頭,"2,153,826 ","15,184,299 ","2,068,268 ","643,710 ","1,424,558 ","14,369,132 ","4,602,462 ","9,766,670 ","85,558 ","40,040 ","45,518 ","815,167 ","441,972 ","373,195 "
民間計,"1,300,590 ","8,440,708 ","235,818 ","66,247 ","169,571 ","1,417,645 ","267,270 ","1,150,375 ","1,064,772 ","61,858 ","1,002,914 ","7,023,063 ","396,368 ","6,626,695 "
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
