 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"7,682,554","2,433,019","5,249,535","52,936,015","17,014,871","35,921,144","5,125,572","1,707,466","3,418,106","35,223,832","11,770,284","23,453,548"
外航計,"4,159,236","1,121,348","3,037,888","28,535,874","7,661,144","20,874,730","4,062,383","1,089,993","2,972,390","27,662,904","7,373,143","20,289,761"
外航定期計,"4,062,383","1,089,993","2,972,390","27,687,037","7,373,582","20,313,455","4,062,383","1,089,993","2,972,390","27,662,904","7,373,143","20,289,761"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"539,079","168,019","371,060","3,858,776","1,257,321","2,601,455","539,079","168,019","371,060","3,858,776","1,257,321","2,601,455"
北米東岸(カリビア海含む),"149,545","44,165","105,380","1,010,256","346,639","663,617","149,545","44,165","105,380","1,010,256","346,639","663,617"
北欧・地中海,"232,427","100,603","131,824","1,742,108","774,031","968,077","232,427","100,603","131,824","1,742,108","774,031","968,077"
南米西岸,"48,846","2,055","46,791","365,662","8,407","357,255","48,846","2,055","46,791","365,662","8,407","357,255"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"86,529","14,426","72,103","464,751","76,253","388,498","86,529","14,426","72,103","464,751","76,253","388,498"
印パ･ペルシャ･ベンガル,-,-,-,"328,876","262,810","66,066",-,-,-,"328,876","262,810","66,066"
東南アジア,"1,815,982","492,920","1,323,062","11,060,209","2,916,009","8,144,200","1,815,982","492,920","1,323,062","11,043,927","2,915,570","8,128,357"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"167,470","48,122","119,348","1,146,175","315,836","830,339","167,470","48,122","119,348","1,146,175","315,836","830,339"
中国(香港含む),"1,022,505","219,683","802,822","7,710,224","1,416,276","6,293,948","1,022,505","219,683","802,822","7,702,373","1,416,276","6,286,097"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"96,853","31,355","65,498","848,837","287,562","561,275",-,-,-,-,-,-
内航計,"3,523,318","1,311,671","2,211,647","24,400,141","9,353,727","15,046,414","1,063,189","617,473","445,716","7,560,928","4,397,141","3,163,787"
内航定期計,"2,027,782","1,094,426","933,356","13,806,928","7,596,548","6,210,380","1,019,290","585,845","433,445","7,140,000","4,104,098","3,035,902"
北海道,"379,330","211,297","168,033","2,760,416","1,553,737","1,206,679","379,330","211,297","168,033","2,760,416","1,553,737","1,206,679"
東北,"30,637","13,350","17,287","229,802","112,420","117,382","29,024","13,284","15,740","210,958","104,644","106,314"
関東,"50,352","25,588","24,764","323,137","170,847","152,290",-,-,-,-,-,-
伊豆諸島,"8,242","5,562","2,680","48,464","30,267","18,197",-,-,-,-,-,-
中部,"11,887","2,422","9,465","72,247","10,722","61,525","11,887","2,422","9,465","70,029","10,722","59,307"
近畿,"3,489",295,"3,194","20,534","1,064","19,470","3,489",295,"3,194","20,534","1,064","19,470"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,431,886","748,370","683,516","9,534,027","5,113,240","4,420,787","483,601","271,005","212,596","3,259,762","1,829,680","1,430,082"
沖縄,"111,959","87,542","24,417","818,301","604,251","214,050","111,959","87,542","24,417","818,301","604,251","214,050"
内航不定期,"1,495,536","217,245","1,278,291","10,593,213","1,757,179","8,836,034","43,899","31,628","12,271","420,928","293,043","127,885"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
