"年度[西暦]","応募者数 第１回[人]","応募者数 第２回[人]","応募者数 第３回[人]","採用者数 第１回[人]","採用者数 第２回[人]","採用者数 第３回[人]","奨学生数[人]","奨学金給付金額[円]"
"2021","32","7","2","27","7","2","36","19291000"
"2022","14","13","13","14","9","11","63","29094000"

"令和5年度港区行政資料集　奨学資金給付状況","Ver202303",,,,,,,
