"年度","区立 港南の郷 定員[人]","区立 港南の郷 入居者数[人]","民間 ありすの杜きのこ南麻布 定員[人]","民間 ありすの杜きのこ南麻布 入居者数[人]"
"2018","44","37","48","37"

"平成30年度港区行政資料集　ケアハウス利用状況","Ver201804",,,
