区分,４月２１日（μｇ／ｍ３）,５月９日（μｇ／ｍ３）
観測用人孔（４）,-,0.032
（４）－１,不検出,-
（４）－２,不検出,0.014
（４）－３,不検出,-
（４）－４,0.015,-
（４）－５,不検出,0.029
（４）－６,不検出,0.018
（４）－７,不検出,0.042
（４）－８,不検出,0.009
（４）－９,不検出,-
