対策,分類１,分類２,分類３,総合評価結果Ｓ（件）,総合評価結果Ａ（件）,総合評価結果Ｂ（件）,総合評価結果Ｃ（件）,総合評価結果計（件）
汚染土壌、汚染地下水対策,汚染土壌処理,掘削処理,加熱処理,2,8,10,7,27
汚染土壌、汚染地下水対策,汚染土壌処理,掘削処理,洗浄処理,2,4,4,2,12
汚染土壌、汚染地下水対策,汚染土壌処理,掘削処理,不溶化処理,0,0,10,6,16
汚染土壌、汚染地下水対策,汚染土壌処理,掘削処理,化学処理,0,0,0,4,4
汚染土壌、汚染地下水対策,汚染土壌処理,掘削処理,埋立処分,0,0,0,3,3
汚染土壌、汚染地下水対策,汚染土壌処理,掘削処理,バイオ処理,2,1,0,0,3
汚染土壌、汚染地下水対策,汚染土壌処理,原位置処理,バイオ処理,2,8,13,6,29
汚染土壌、汚染地下水対策,汚染土壌処理,原位置処理,化学処理,0,2,6,5,13
汚染土壌、汚染地下水対策,汚染土壌処理,原位置処理,不溶化処理,0,0,1,2,3
汚染土壌、汚染地下水対策,汚染土壌処理,原位置処理,加熱処理,0,0,3,0,3
汚染土壌、汚染地下水対策,汚染地下水処理,原位置処理,洗浄水の循環による処理,3,0,3,2,8
汚染土壌、汚染地下水対策,汚染地下水処理,原位置処理,電気浸透による処理,0,0,0,3,3
汚染土壌、汚染地下水対策,汚染地下水処理,原位置処理,凝集沈澱処理,0,0,1,0,1
汚染土壌、汚染地下水対策,汚染地下水処理,プラントによる処理,,2,2,4,2,10
汚染土壌、汚染地下水対策,汚染地下水処理,封じ込め,,0,1,0,1,2
汚染土壌、汚染地下水対策,汚染地下水処理,その他,,0,0,0,1,1
汚染土壌、汚染地下水対策,遮水壁,,,3,6,13,1,23
汚染土壌、汚染地下水対策,土壌掘削方法,,,0,6,3,1,10
汚染土壌、汚染地下水対策,その他,,,0,1,1,1,3
液状化対策,地盤改良,締固工法,,6,1,1,1,9
液状化対策,地盤改良,固結工法,,8,1,2,1,12
液状化対策,地下水位低下工法,,,0,1,0,1,2
液状化対策,過剰間隙水圧消散工法,,,0,0,2,0,2
市場施設完成後の地下水管理システム,水位・水質モニタリング手法,,,4,1,0,5,10
市場施設完成後の地下水管理システム,地下水位制御手法,,,1,0,2,0,3
市場施設完成後の地下水管理システム,水質浄化方法（環境基準の１０倍の地下水浄化）,,,0,0,1,0,1
合計,,,,35,43,80,55,213
