実験方法,地点,分析項目,初期値（ｍｇ／Ｌ）,既往調査値（ｍｇ／Ｌ）
地下水浄化処理,Ｎｏ．１４,ベンゼン,＜０．００１,5.2
地下水浄化処理,Ｎｏ．１５,シアン化合物,1.1,6.9
地下水浄化処理,Ｎｏ．１６,シアン化合物,0.1,0.2
地下水浄化処理,Ｎｏ．１６,鉛,＜０．００５,0.08
地下水浄化処理,Ｎｏ．１７,ベンゼン,0.39,1.1
地下水浄化処理,Ｎｏ．１８,鉛,0.023,0.22
