街区,分析,パターン調査地点,第１回結果,第２回結果,第３回結果,第４回結果,第５回結果,第６回結果,第７回結果,第８回結果,第９回結果,備考
５街区,１,Ｉ２９－４,0.0033,0.0039,0.0022,不検出,不検出,不検出,不検出,不検出,0.027,
５街区,１,Ｉ３４－５,0.0016,不検出,不検出,0.001,0.001,0.001,0.002,0.001,不検出,
５街区,１,Ｉ４０－８,0.0023,不検出,不検出,0.002,0.002,0.002,0.002,0.002,0.001,
５街区,１,Ｊ２８－２,0.0059,0.0010,不検出,0.004,不検出,不検出,不検出,不検出,不検出,
５街区,１,Ｊ２９－４,不検出,0.0063,0.0025,不検出,不検出,不検出,不検出,不検出,不検出,
５街区,１,Ｊ３２－７,0.0074,0.0035,0.0010,不検出,不検出,0.001,不検出,0.009,不検出,
５街区,１,Ｊ３７－６,不検出,不検出,不検出,不検出,0.001,不検出,不検出,0.001,0.003,
５街区,１,Ｊ３９－５,0.0042,0.0074,0.0043,不検出,不検出,不検出,不検出,0.004,0.031,
５街区,１,Ｋ２８－６,不検出,0.0043,不検出,不検出,不検出,不検出,不検出,0.001,0.096,
５街区,１,Ｋ３０－６,0.0071,0.0048,0.0013,不検出,不検出,不検出,不検出,不検出,0.017,
５街区,１,Ｋ３１－５,0.0033,0.0049,0.0011,0.002,0.001,不検出,不検出,0.001,0.009,
５街区,１,Ｋ３２－８,不検出,0.0039,0.0018,不検出,0.001,不検出,不検出,0.004,0.039,
５街区,１,Ｋ３６－４,0.0062,不検出,不検出,0.003,不検出,不検出,不検出,0.003,0.009,
５街区,１,Ｋ３７－４,不検出,0.0027,不検出,不検出,不検出,不検出,不検出,不検出,0.79,
５街区,１,Ｋ４０－３,0.0045,不検出,不検出,0.007,0.006,不検出,不検出,不検出,0.002,
５街区,１,Ｋ４０－４,不検出,0.0012,不検出,0.007,不検出,不検出,不検出,0.006,0.011,
５街区,１,Ｌ２８－９,不検出,不検出,不検出,不検出,不検出,0.003,不検出,0.001,不検出,
５街区,１,Ｌ３０－１,0.0050,0.0012,0.0019,0.008,不検出,不検出,不検出,0.014,0.022,
５街区,１,Ｌ３１－１,不検出,0.0022,不検出,0.007,不検出,不検出,不検出,0.005,0.031,
５街区,１,Ｌ３５－４,0.0054,不検出,不検出,不検出,不検出,0.002,0.005,不検出,0.001,
５街区,１,Ｌ３７－４,0.0083,不検出,不検出,不検出,不検出,0.005,不検出,0.002,0.016,
５街区,１,Ｌ３８－４,不検出,不検出,不検出,0.004,0.001,0.001,0.001,不検出,0.001,
５街区,１,Ｌ３９－３,0.0065,0.0035,不検出,不検出,不検出,不検出,不検出,0.003,0.063,
５街区,１,Ｌ３９－４,0.0082,不検出,不検出,0.007,0.004,0.005,0.006,0.002,0.003,
５街区,１,Ｌ４０－７,0.0068,不検出,不検出,不検出,不検出,0.001,不検出,0.004,0.004,
５街区,１,Ｌ４１－４,0.0037,不検出,不検出,0.002,0.001,不検出,0.004,不検出,0.001,
５街区,１,Ｍ２９－２,0.0075,不検出,不検出,0.001,0.002,不検出,0.004,不検出,不検出,
５街区,１,Ｍ３４－１,0.0023,0.0012,不検出,不検出,0.004,0.007,不検出,0.007,0.002,
５街区,１,Ｍ３６－４,不検出,不検出,不検出,不検出,不検出,0.001,不検出,不検出,0.001,
５街区,１,Ｍ３８－８,不検出,不検出,不検出,不検出,0.001,0.001,0.003,不検出,0.004,
５街区,１,Ｍ３９－８,不検出,不検出,不検出,不検出,0.001,0.002,不検出,不検出,不検出,
５街区,１,Ｍ４０－７,0.0036,0.0010,不検出,0.002,0.003,0.001,不検出,不検出,不検出,
５街区,１,Ｎ３２－６,0.0066,不検出,不検出,不検出,0.001,0.001,0.002,不検出,不検出,
５街区,１,Ｎ３９－５,0.0056,不検出,不検出,不検出,0.002,0.001,不検出,0.002,0.001,
５街区,１,Ｏ３４－７,0.0057,不検出,不検出,0.007,不検出,0.003,不検出,不検出,0.008,
５街区,１,Ｏ４０－９,不検出,0.0011,不検出,不検出,不検出,0.004,0.005,不検出,不検出,
５街区,１,Ｐ３５－６,不検出,不検出,不検出,0.003,不検出,0.001,不検出,不検出,不検出,
５街区,１,Ｐ３６－６,不検出,0.0015,不検出,0.002,0.003,0.001,不検出,0.004,0.004,
５街区,１,Ｑ３０－３,不検出,不検出,不検出,不検出,不検出,0.003,不検出,不検出,不検出,
５街区,１,Ｑ３５－５,0.0052,0.0056,不検出,0.005,0.007,不検出,不検出,不検出,不検出,
５街区,１,Ｑ３６－５,0.0026,0.0051,0.0019,不検出,0.002,不検出,不検出,不検出,0.001,
５街区,２,Ｊ３３－９,0.0030,不検出,不検出,0.007,0.005,不検出,0.005,0.003,0.004,
５街区,２,Ｊ３５－６,不検出,0.0028,不検出,0.007,不検出,0.006,不検出,0.011,0.029,
５街区,２,Ｊ３６－６,0.0047,0.0029,0.0016,0.004,0.005,0.005,不検出,不検出,0.016,
５街区,２,Ｋ２９－６,0.0066,0.0064,0.0025,不検出,0.001,0.003,不検出,不検出,0.019,
５街区,２,Ｌ３４－４,0.0021,不検出,不検出,不検出,0.002,不検出,不検出,0.001,0.001,
５街区,２,Ｍ３５－４,不検出,不検出,不検出,不検出,不検出,0.001,不検出,不検出,0.001,
５街区,２,Ｍ３７－３,不検出,0.0017,不検出,0.002,0.002,0.002,不検出,0.001,0.060,
５街区,２,Ｎ４１－１,0.0071,0.0013,不検出,0.003,0.003,0.002,0.003,0.002,0.006,
５街区,２,Ｏ４１－２,不検出,不検出,不検出,0.003,不検出,0.001,0.004,不検出,0.007,
５街区,２,Ｏ４２－７,0.0050,不検出,不検出,0.002,不検出,不検出,不検出,不検出,0.088,
５街区,２,Ｐ３６－３,0.0042,不検出,不検出,0.002,0.001,0.004,不検出,0.001,0.004,
５街区,２,Ｑ３７－５,0.0047,0.0016,0.0013,不検出,不検出,0.003,不検出,不検出,0.044,
５街区,３,Ｌ３６－４,0.0018,不検出,不検出,不検出,0.001,0.001,不検出,0.002,0.001,
５街区,３,Ｍ３７－７,0.0069,0.0029,不検出,不検出,不検出,0.005,不検出,0.002,0.002,
５街区,３,Ｏ３３－３,0.0058,不検出,不検出,不検出,0.002,不検出,不検出,不検出,0.001,
５街区,４,Ｏ３８－１,0.0068,0.0075,不検出,不検出,不検出,不検出,不検出,不検出,0.013,
