街区,分析パターン,調査地点,第１回結果,第２回結果,第３回結果,第４回結果,第５回結果,第６回結果,第７回結果,第８回結果,第９回結果,備考
５街区,３,Ｌ３６－４,0.0039,不検出,不検出,0.002,0.002,0.003,0.004,0.002,0.004,
５街区,３,Ｍ３７－７,不検出,不検出,0.0012,0.003,0.001,0.001,0.004,0.002,0.007,
５街区,３,Ｏ３３－３,不検出,不検出,不検出,0.002,不検出,0.001,0.003,0.003,0.007,
５街区,４,Ｏ３８－１,0.0012,0.0035,不検出,0.004,0.001,0.001,0.005,不検出,0.022,
５街区,９,Ｍ３１－２,不検出,0.0020,不検出,0.008,0.003,0.007,不検出,0.002,0.038,
５街区,９,Ｏ２８－４,0.0014,0.0017,0.0030,0.003,0.003,0.002,0.004,0.019,0.004,
５街区,９,Ｐ２８－４,0.0033,0.0047,0.0011,0.002,0.001,0.007,不検出,0.001,0.009,
５街区,９,Ｐ２９－４,0.0025,0.0033,不検出,0.002,0.001,0.004,不検出,0.004,0.007,
６街区,３,Ｇ２５－１,0.0060,0.0066,0.0033,0.004,0.002,0.001,0.001,不検出,0.008,
６街区,４,Ａ１０－７,不検出,不検出,不検出,0.001,0.003,0.001,0.002,0.001,0.008,
６街区,４,Ｂ１０－５,0.0021,不検出,0.0043,0.001,0.002,0.001,不検出,不検出,0.022,
６街区,４,Ｃ１２－５,不検出,不検出,不検出,0.003,不検出,0.001,0.004,0.003,0.005,
６街区,４,Ｃ１３－２,不検出,不検出,不検出,0.002,不検出,0.001,0.001,不検出,0.003,
６街区,４,Ｄ１０－５,0.0016,0.0012,0.0020,不検出,0.001,不検出,不検出,不検出,0.012,
６街区,４,Ｄ１２－５,0.0010,0.0014,不検出,0.003,不検出,不検出,不検出,不検出,0.021,
６街区,４,Ｅ１１－２,0.0016,不検出,0.0012,0.002,0.003,不検出,不検出,不検出,0.017,
６街区,４,Ｇ８－１,不検出,0.0018,不検出,0.001,0.001,不検出,不検出,不検出,不検出,
６街区,４,Ｇ９－１,0.0012,不検出,不検出,0.001,0.001,不検出,不検出,不検出,0.009,
６街区,４,Ｇ１２－３,0.0055,0.0036,0.0023,0.001,0.002,不検出,不検出,不検出,0.018,
６街区,５,Ｄ１１－５,0.0011,0.0032,0.0015,0.001,不検出,不検出,不検出,不検出,0.015,
６街区,７,Ａ１１－３,不検出,不検出,0.0015,0.002,0.003,0.002,0.002,0.003,0.006,
６街区,９,Ａ８－４,不検出,不検出,不検出,0.002,0.002,不検出,0.004,0.002,0.002,
６街区,９,Ａ１７－４,不検出,0.0017,不検出,0.003,0.003,0.001,0.001,不検出,0.003,
６街区,９,Ａ１８－４,0.0010,不検出,不検出,0.003,0.002,不検出,0.001,0.001,0.009,
６街区,９,Ａ１９－４,0.0031,0.0014,0.0022,0.002,0.003,0.001,0.004,0.003,0.023,
６街区,９,Ｅ７－１,不検出,0.0014,0.0012,0.003,0.003,0.002,不検出,0.001,0.007,
６街区,９,Ｚ１８－７,0.0015,0.0020,0.0016,0.002,0.002,0.001,0.002,0.001,0.008,
７街区,３,Ｐ２１－３,0.0019,0.0021,0.0015,0.002,0.002,0.001,0.002,不検出,0.026,
７街区,４,Ｉ１３－５,不検出,不検出,0.0021,0.005,不検出,0.002,0.002,0.003,0.003,
７街区,４,Ｋ６－２,不検出,不検出,不検出,0.002,不検出,0.003,0.001,0.001,0.003,
７街区,４,Ｌ５－５,0.0025,0.0019,0.0021,不検出,0.008,0.002,0.001,不検出,0.005,
７街区,４,Ｍ５－２,0.0049,0.0027,0.0024,0.003,0.007,0.002,0.002,不検出,0.002,
７街区,４,Ｍ６－２,0.0031,0.0019,0.0014,0.006,0.007,0.002,0.001,不検出,0.016,
７街区,７,Ｉ１２－５,0.0012,不検出,不検出,0.007,0.006,0.003,0.002,不検出,0.007,
７街区,７,Ｉ１８－６,不検出,不検出,0.0010,0.002,0.004,0.006,不検出,0.001,0.006,
７街区,７,Ｋ１０－５,0.0032,不検出,不検出,0.004,0.003,0.003,0.001,0.002,0.008,
７街区,７,Ｌ６－２,0.0031,0.0025,不検出,0.004,不検出,不検出,0.002,0.001,0.010,
７街区,７,Ｌ１７－２,0.0053,0.0015,不検出,0.006,不検出,0.004,0.001,0.001,0.010,
７街区,７,Ｎ６－２,0.0033,0.0029,0.0027,不検出,0.001,0.006,不検出,不検出,0.011,
７街区,９,Ｉ１６－４,不検出,0.0016,0.0012,0.003,0.004,0.002,0.001,不検出,0.003,
７街区,９,Ｉ１７－５,0.0043,0.0010,不検出,0.002,不検出,0.004,0.001,0.001,0.006,
７街区,９,Ｉ１８－７,0.0010,不検出,不検出,0.001,0.004,0.008,0.002,0.001,0.006,
７街区,９,Ｊ１８－８,0.0060,0.0069,0.0045,0.003,0.001,0.004,不検出,不検出,0.004,
７街区,９,Ｋ１５－２,0.0037,不検出,不検出,0.003,0.005,0.003,0.002,0.002,0.006,
７街区,９,Ｋ１５－８,0.0059,不検出,不検出,0.002,0.004,0.001,0.002,0.001,0.005,
７街区,９,Ｋ１６－２,0.0029,0.0012,不検出,0.006,0.006,0.003,0.001,0.002,0.009,
７街区,９,Ｋ１６－８,0.0019,不検出,不検出,0.005,0.004,0.003,0.001,0.002,0.004,
７街区,９,Ｋ１７－２,0.0066,不検出,0.0014,0.004,0.005,0.005,0.001,0.001,0.008,
７街区,９,Ｋ１８－７,0.0069,0.0026,0.0014,0.001,0.001,0.004,0.003,不検出,0.011,
７街区,９,Ｋ１９－２,0.0085,0.0025,0.0024,0.003,0.004,0.004,0.001,不検出,0.014,
７街区,９,Ｋ１９－７,0.0085,0.0026,0.0025,0.001,不検出,不検出,0.001,不検出,0.016,
７街区,９,Ｌ１５－５,0.0034,0.0024,0.0012,0.002,不検出,0.001,0.001,0.001,0.008,
７街区,９,Ｌ１６－５,不検出,不検出,不検出,不検出,0.001,0.001,0.001,0.003,0.001,
７街区,９,Ｌ１８－９,0.0081,0.0024,0.0019,0.006,0.002,0.004,0.003,不検出,0.011,
７街区,９,Ｌ２２－６,0.0020,不検出,不検出,0.003,0.001,0.002,0.002,不検出,0.004,
７街区,９,Ｌ２３－３,0.0058,不検出,不検出,0.003,0.002,0.003,0.001,0.001,0.003,
７街区,９,Ｍ８－９,0.0054,0.0020,不検出,0.003,不検出,0.004,0.002,不検出,0.006,
７街区,９,Ｍ１７－３,不検出,0.0018,0.0013,0.001,不検出,0.005,不検出,不検出,0.004,
７街区,９,Ｍ１８－９,0.0047,0.0015,0.0013,0.001,不検出,0.002,0.002,不検出,0.005,
７街区,９,Ｍ２０－４,0.0016,0.0010,不検出,0.004,0.002,0.002,不検出,不検出,0.019,
７街区,９,Ｍ２１－３,0.0032,0.0011,0.0013,0.002,0.002,不検出,不検出,不検出,0.001,
７街区,９,Ｍ２１－７,0.0027,不検出,不検出,0.006,不検出,0.003,不検出,不検出,0.012,
７街区,９,Ｍ２３－２,0.0087,不検出,不検出,0.002,0.001,0.002,0.001,不検出,0.003,
７街区,９,Ｎ２２－１,0.0076,不検出,不検出,0.002,0.003,0.006,不検出,0.001,0.013,
７街区,９,Ｎ２３－２,不検出,0.0042,不検出,0.001,0.001,0.006,不検出,0.001,0.011,
７街区,９,Ｎ２４－９,0.0063,0.0068,不検出,0.002,0.007,0.006,不検出,不検出,不検出,
７街区,９,Ｏ２３－４,0.0052,0.0032,0.0048,0.002,不検出,0.006,0.001,不検出,0.003,
７街区,９,Ｏ２４－９,0.0082,0.0058,0.0011,0.001,不検出,0.005,0.001,不検出,0.007,
７街区,９,Ｐ２２－３,0.0021,0.0015,0.0018,不検出,不検出,0.001,0.002,不検出,0.009,
