区分,４月２１日（μｇ／ｍ３）,５月９日（μｇ／ｍ３）
観測用人孔（１）,-,0.035
（１）－１,不検出,-
（１）－２,不検出,0.011
（１）－３,不検出,不検出
（１）－４,不検出,不検出
（１）－５,不検出,0.015
（１）－６,不検出,-
（１）－７,不検出,-
（１）－８,不検出,0.008
（１）－９,不検出,-
