地点名,基準値超過物質,土壌盛土の濃度,土壌操業地盤面以下の土壌汚染濃度,地下水濃度（ｍｇ／ｌ）
Ｉ２８－４,シアン化合物（ｍｇ／ｌ）,0.1,0.2,0.0
Ｉ３６－３,鉛（ｍｇ／ｋｇ）,2000,360,0.0
Ｊ３７－６,ベンゼン（ｍｇ／ｌ）,0.014,0.004,0.016
Ｋ２７－８,ベンゼン（ｍｇ／ｌ）,0.043,4.4,0.0
Ｋ３５－６,シアン化合物（ｍｇ／ｌ）,2.5,0.1,0.0
Ｌ３６－１,ヒ素（ｍｇ／ｌ）,0.24,0.004,0.052
Ｌ３７－２,ベンゼン（ｍｇ／ｌ）,0.011,1.0,5.5
Ｌ４０－７,ベンゼン（ｍｇ／ｌ）,0.011,0.019,0.011
Ｍ３５－３,シアン化合物（ｍｇ／ｌ）,0.1,0.1,0.0
Ｐ２７－３,ヒ素（ｍｇ／ｌ）,0.17,0.17,0.021
Ｐ４２－７,シアン化合物（ｍｇ／ｌ）,0.1,0.4,0.1
Ｐ４２－９,シアン化合物（ｍｇ／ｌ）,0.1,0.7,0.2
Ｒ３９－２,シアン化合物（ｍｇ／ｌ）,0.1,0.1,0.1
Ｇ７－３,シアン化合物（ｍｇ／ｌ）,0.1,0.1,0.2
Ｇ８－５,ヒ素（ｍｇ／ｌ）,0.015,0.67,0.020
Ｇ１１－５,シアン化合物（ｍｇ／ｌ）,0.1,0.1,1.7
Ｇ２５－２,ヒ素（ｍｇ／ｌ）,0.013,0.067,0.012
Ｈ６－３,シアン化合物（ｍｇ／ｌ）,0.1,0.1,0.3
Ｈ２５－５,ヒ素（ｍｇ／ｌ）,0.020,0.032,0.019
Ｉ１２－３,シアン化合物（ｍｇ／ｌ）,0.1,0.6,1.0
Ｉ１３－６,ヒ素（ｍｇ／ｌ）,0.012,0.068,0.014
Ｉ１５－９,ヒ素（ｍｇ／ｌ）,0.015,0.075,0.021
Ｊ１１－１,シアン化合物（ｍｇ／ｌ）,0.2,0.0,0.6
Ｋ１６－３,ヒ素（ｍｇ／ｌ）,0.031,0.32,0.019
Ｋ２６－４,ヒ素（ｍｇ／ｌ）,0.016,0.12,0.020
Ｌ１８－３,ヒ素（ｍｇ／ｌ）,0.024,0.12,0.014
Ｌ２２－６,ヒ素（ｍｇ／ｌ）,0.012,0.12,0.012
Ｍ４－２,シアン化合物（ｍｇ／ｌ）,0.1,0.2,0.4
Ｍ２１－９,ヒ素（ｍｇ／ｌ）,0.028,0.050,0.024
Ｎ５－３,シアン化合物（ｍｇ／ｌ）,0.6,0.6,0.4
