街区,分析パターン,調査地点,第１回結果,第２回結果,第３回結果,第４回結果,第５回結果,第６回結果,第７回結果,第８回結果,第９回結果,備考
７街区,２,Ｉ２４－３,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,２,Ｊ８－８,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.1,
７街区,２,Ｋ８－７,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,２,Ｌ２５－１,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.1,
７街区,２,Ｎ１２－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.3,
７街区,４,Ｉ１３－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,４,Ｋ６－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.1,
７街区,４,Ｌ５－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.2,
７街区,４,Ｍ５－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,４,Ｍ６－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,６,Ｉ１０－３,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.4,
７街区,６,Ｊ７－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.4,
７街区,６,Ｊ１０－６,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.2,
７街区,６,Ｊ１２－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.1,
７街区,６,Ｊ１３－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,６,Ｋ５－６,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,６,Ｋ９－８,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,６,Ｋ１０－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,６,Ｋ１１－４,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,６,Ｋ１２－４,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,６,Ｌ１４－６,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,６,Ｍ４－８,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,６,Ｍ７－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,６,Ｍ８－１,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.3,
７街区,６,Ｎ５－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,６,Ｎ１４－６,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,７,Ｉ１２－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.1,
７街区,７,Ｉ１８－６,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,７,Ｋ１０－５,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,７,Ｌ６－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,７,Ｌ１７－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
７街区,７,Ｎ６－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,0.4,
７街区,８,Ｍ４－２,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,不検出,
