区分,４月２１日（μｇ／ｍ３）,５月９日（μｇ／ｍ３）
観測用人孔（２）,-,0.062
（２）－１,不検出,不検出
（２）－２,0.005,0.013
（２）－３,不検出,-
（２）－４,0.008,-
（２）－５,不検出,0.023
（２）－６,不検出,0.018
（２）－７,不検出,0.035
（２）－８,不検出,-
