区分１,区分２,１０（トン）,１１（トン）,１２（トン）,１３（トン）
水産,全国,3581268,3548418,3538386,3481825
水産,築地,622533,628651,636353,632257
青果,全国,10544424,10583524,10588859,10514914
青果,築地,386885,388195,391227,381053
