工種,土木工事及び汚染物処理の概要,経費（億円）
準備工事,・工事準備,113
準備工事,・遮水壁設置,※
準備工事,・仮設プラント設置,※
準備工事,・仮設桟橋設置,※
準備工事,・汚染物質の前処理,※
汚染地下水対策,・地下水揚水・浄化処理,83
汚染地下水対策,・地下水のみが汚染されている箇所の揚水、浄化処理,※
汚染土壌対策,・盛土の掘削・運搬・仮置き,271
汚染土壌対策,・汚染箇所周囲に鋼矢板設置,※
汚染土壌対策,・土壌の掘削・運搬,※
汚染土壌対策,・汚染物質処理（当該区域内の仮設プラントで処理）,※
汚染土壌対策,・埋め戻し（Ａ．Ｐ．＋２．０ｍ以下）,※
液状化対策,・砂杭締固め工法,45
液状化対策,・格子状固化工法,※
埋め戻し・盛土,・砕石層設置（Ａ．Ｐ．＋２．０ｍ以下）,61
埋め戻し・盛土,・埋め戻し・盛土（Ａ．Ｐ．＋２．０ｍ～Ａ．Ｐ．＋６．５ｍ）,※
地下水管理,・地下水浄化確認（観測井戸設置）,13
地下水管理,・地下水管理システムの設置,※
計,,586
